budget_2013,budget_2016,OPBUDGET_2019,OPBUDGET2020,opbudget_2021_2022
1828000,NA,2500000,2500000,NA
NA,4350000,4764100,4678800,NA
NA,NA,NA,NA,2129000
3700000,NA,3285000,3474000,3195000
NA,NA,3550000,3630000,NA
NA,3740840,2616927,2746682,2894723
NA,NA,NA,NA,NA
NA,3507576,NA,NA,NA
2012234,1200000,1700000,1700000,NA
NA,NA,NA,NA,NA
NA,NA,724000,754000,NA
NA,NA,NA,NA,NA
23595232,22730317,25829083,25725327,17045000
13780908,15181110,16231000,16914256,NA
NA,NA,1435582,1500000,NA
NA,NA,1500000,1600000,NA
NA,NA,4e+05,450000,NA
NA,NA,1508680,1583617,NA
NA,1670521,1776732,1786595,NA
NA,NA,NA,NA,NA
NA,NA,727000,772000,NA
NA,NA,2588405,2499290,2296000
NA,2918525,2119332,2098500,NA
NA,NA,3881114,4123909,NA
NA,NA,NA,NA,4231279
13950000,13833973,15467172,16367618,16104000
11549893,12172777,13150000,13240000,NA
15750000,1.4e+07,16581350,17233500,16938000
NA,NA,4461888,4712123,3994000
26276016,22500000,27131838,24827653,24622000
18082939,18643725,1.4e+07,1.4e+07,NA
1.3e+07,1.3e+07,15811662,16014190,14614000
10500000,12500000,15127911,15583635,6228000
NA,NA,NA,NA,4867000
NA,NA,4731576,4834115,NA
NA,NA,NA,NA,4370000
24211000,23500000,25592000,24727000,19945000
9e+06,17195881,18716906,18265853,NA
9.1e+07,1.08e+08,107579930,104288716,NA
NA,NA,NA,NA,NA
10500000,1.2e+07,14030593,14995628,14455000
NA,19600000,23775000,24450000,28626000
NA,NA,7429690,7777335,NA
13537762,14111200,15300000,16065000,15212000
NA,NA,NA,NA,NA
NA,NA,1317730,1404950,NA
NA,NA,24076072,23578175,6266000
NA,NA,8155501,8443001,NA
32051061,36819820,33301459,33478322,NA
2700000,NA,2400000,2500000,NA
NA,27958910,31783301,32313657,30596000
NA,3800000,NA,NA,NA
11800000,NA,13394370,13841699,NA
16500000,18500000,18227914,20726473,19471000
12592717,NA,NA,NA,NA
17535000,NA,12153700,12696861,11310000
26351935,28913800,34072958,34413380,33325000
NA,NA,1811000,1862468,NA
NA,3936880,4107620,4151620,NA
NA,NA,NA,NA,NA
1.1e+07,NA,12564372,12663993,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,16015000
NA,NA,2100000,2100000,NA
NA,NA,5100000,5200000,NA
NA,NA,NA,NA,4909000
NA,1086327,1200000,1320000,NA
14339446,NA,17015625,17243452,16797000
NA,NA,18485888,2417500,NA
NA,NA,2305300,2305300,NA
1.6e+07,15542568,NA,NA,NA
2e+07,2.4e+07,26765835,27612881,25772000
NA,NA,12713023,13121394,NA
15512300,18688575,20158080,22527986,20388000
NA,NA,1970305,2026800,NA
NA,NA,4500000,4900000,NA
NA,NA,5199294,5280387,NA
NA,NA,4665363,4765000,4450000
5e+06,NA,NA,NA,7778000
19300000,20693000,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
1.5e+07,18935975,NA,NA,22731000
40191125,NA,48581544,32436269,46231000
NA,NA,2343202,2406871,NA
2500000,NA,NA,NA,NA
NA,17789041,18492609,18579251,20153000
NA,NA,6705765,6676681,NA
NA,NA,NA,NA,1999000
NA,NA,2055175,2054581,NA
980000,6e+05,1e+06,1e+06,NA
NA,NA,15310000,14500000,14467000
NA,NA,1800000,1800000,2034000
750000,NA,684165,717769,NA
NA,NA,1184728,1196963,NA
NA,NA,4568476,4790256,NA
5218928,NA,5590002,5741199,NA
6200000,NA,NA,NA,NA
33524846,NA,46625992,48585685,46892000
1.5e+07,14600000,18500000,18500000,NA
1.5e+07,NA,15926363,16110888,15521000
18947380,19639990,20143898,21155157,NA
NA,NA,969600,969350,1001500
NA,NA,5504795,5755980,NA
132502505,136780948,228428160,220436453,156200000
155098000,1.58e+08,1.88e+08,205348000,226900000
NA,NA,NA,NA,NA
20800000,25677769,26524594,26025403,23734000
NA,NA,844479,738930,254000
NA,NA,1300000,1300000,3655000
NA,NA,3e+05,277914,NA
NA,NA,7624130,7624130,5236000
NA,NA,590000,616603,854000
2521788,2264000,3800000,3800000,1262000
NA,NA,1245008,1254291,1042135
NA,NA,131836,153192,NA
17376257,NA,16150112,16988860,23590000
14253047,1.7e+07,18100000,18500000,17218000
NA,24500000,28248228,24979279,11985000
1439542,NA,1e+06,1e+06,1542000
NA,NA,NA,NA,NA
NA,NA,NA,NA,2620000
4.89e+08,539447297,631964702,655617383,661800000
88081724,90799189,NA,NA,117100000
90476916,99992103,96704504,102147240,104800000
NA,492744,501082,391684,NA
5.4e+07,58235796,74804270,85327231,91300000
19844950,23652000,3.2e+07,3.4e+07,33126000
54514684,58312914,"39,290,779","42,219,751",51051538
"10,706,376",15278525,16164778,16669699,12178222
"87,446","82,995","65,256","70,710",110564
12694518,11904668,12856788,12937152,13268693
"193,134","196,271",420000,430000,275627
"165,236","157,586",170000,175000,189846
"926,161","833,323","923,364","865,286",954588
"3,808,303","4,147,269",3889705,3976579,3151
"360,552",400383,393000,372000,435318
"46,236","199,111",155000,175000,212007
"3,944,280","4,101,470",5231159,5520671,4579000
"318,832","371,683","446,131","469,249",431259
78236166,81798470,89099759,85220364,88425549
"3,238,119","6,048,017",3614110,3612182,3746914
"1,434,761","1,563,773",1568776,1568471,1539528
"245,659","278,040",320535,346675,273170
29940776,32086336,3.5e+07,35545560,23676450
13238365,17358969,17898058,18564771,16059938
14288698,14336771,15818377,16488047,15446344
7397301,"8,212,941",8757955,8231923,8222153
"565,475","580,309","603,432","620,399",664834
"734,222","753,830",895651,900620,1014483
"1,182,532","1,252,863",1275860,1311880,1268573
"203,036",233230,252274,261425,267949
"218,543","288,397",352036,359036,NA
"116,511","86,414",123185,125950,76759
"59,617","90,482",62000,62500,43460
"328,098",331150,339084,348632,394795
"51,809","63,954","73,888","75,186",73921
"2,018,476","2,018,954",2121258,2278671,6058761
134534000,"87,680,210",99557000,95116000,90800000
"6,242,438","6,678,251",10519689,10801671,7330956
"11,901,080","19,790,288",17403331,17244421,12576889
"1,383,732","1,460,528","1,556,135","1,617,283",1740996
"16,210,390","18,248,034",20221119,21115752,21179408
22069937,24309735,2.5e+07,2.6e+07,25999923
4e+06,"4,229,756",3700000,3990000,4159882
"4,112,772","4,268,704",5285000,5575000,5789384
"1,726,589","2,159,119",2100000,2100000,3139062
4612690000,5.559e+09,6e+09,5.5e+09,5.4e+09
1.9e+07,19600000,2e+07,21033000,16443360
"926,562","1,036,291",1731000,1830000,1331159
14336953,16895502,19202624,19745228,17426057
"316,107","317,812",334000,334000,443708
"2,043,852","2,297,942",4278056,4433004,2814518
"560,432","571,819",650000,723000,656963
45999234,47435235,48960741,47936924,52380953
"502,930",558246,560000,570000,583536
"2,467,351","2,352,590","2,528,766","2,499,361",0
"162,482","108,377",185000,185000,97345
"26,153","27,397","28,550","27,938",28594
7803486,"8,562,689",9521717,9973613,10563750
1300000,"1,460,125",1702246,1791482,2191714
"1,725,781","1,770,311",2009090,2218275,3151
"1,242,548","1,524,509",1300000,1300000,1302173
"246,987","219,854",274986,297965,232981
"2,401,369","2,485,686",3798300,3960504,2815039
1.5e+07,18505165,"13,823,861","14,927,009",15309987
"344,631","330,749",343702,297380,336698
33226980,35261272,30418927,33067019,39885194
35772248,"143,012",35233959,34912096,246061
"956,240","975,393",1450000,1450000,0
"18,055,936",18656146,20297280,23322513,21455998
"47,855","70,103","94,355","64,356",36812
14635077,22187456,24024379,24947908,20873842
"2,276,509","2,331,619",2512830,2542000,2309200
1319406,"824,382",970000,990000,969706
"7,328,514","8,335,430","9,258,266","7,829,798",12523756
9e+05,1e+06,1148307,979800,1306159
"894,738","882,415",990854,968474,968588
"749,713","781,804","895,534","782,561",888240
"399,972","311,799",355000,375000,445838
34501224,35441199,37789165,38241297,27468304
19744680,20620020,2.4e+07,2.5e+07,23027029
29876022,31478794,38330539,39061395,35678107
78804379,97052269,105296716,107463636,107277702
"3,349,598","3,456,341",3145791,3453272,3745000
4689952,"5,466,758",5474852,5586584,5595700
"3,347,427","3,654,790","3,892,420","3,809,663",3892708
17074086,18154437,19874023,20261838,22053839
"4,700,046",8204000,8620753,9137101,6058761
"872,643","924,160",1400000,1500000,16651818
8798911,"7,882,763","8,578,617","8,815,392",8778469
"7,569,557","8,687,694","10,502,895","10,350,016",10571267
"972,442","1,064,827","1,235,877","1,239,061",1167931
NA,NA,NA,NA,NA
NA,NA,3589667,3677662,3742000
NA,1639525,1300000,1270000,NA
NA,1365176,1484482,1414014,NA
NA,480000,5e+05,5e+05,NA
NA,NA,375000,403000,NA
NA,NA,4e+05,390000,NA
NA,NA,1501477,1209532,2055000
NA,NA,1006270,965465,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,16408000
NA,NA,NA,NA,NA
14215275,NA,17949208,18366023,12025000
1469592,NA,2213530,2455090,NA
NA,NA,NA,NA,NA
13071134,14522813,15194703,16632320,NA
NA,NA,350000,350000,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,910264,910264,NA
NA,NA,186000,189640,NA
NA,10228100,1.1e+07,1.2e+07,NA
NA,NA,3500000,3500000,3601000
NA,NA,4100000,4300000,4883000
NA,NA,2414999,2608425,NA
NA,NA,1984424,2000212,NA
1e+07,NA,9995514,9588999,9942000
NA,NA,NA,NA,4543000
NA,NA,1585777,1635810,NA
NA,NA,1881396,1539491,NA
NA,NA,2113562,2293132,NA
NA,NA,16935270,16847178,19516000
NA,4300000,5100000,5400000,5936000
NA,NA,5885468,4945544,8666000
6e+05,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,3127510,3168345,3681000
NA,NA,3245011,3378890,NA
NA,NA,NA,NA,NA
NA,NA,6500000,7e+06,5511000
NA,NA,11700000,12200000,8538000
NA,9282044,NA,NA,NA
NA,NA,6645525,7296789,10098000
NA,NA,NA,NA,NA
NA,NA,7e+05,7e+05,NA
794487,NA,1200000,1200000,NA
NA,253549,357875,371150,NA
1610849,NA,1944050,1865500,2492000
6693896,NA,6476471967,6983472,4182214
NA,NA,NA,NA,NA
NA,NA,NA,NA,211000
NA,NA,NA,NA,5639000
3260000,NA,NA,NA,3634000
NA,NA,NA,NA,NA
NA,NA,2e+06,2e+06,NA
NA,NA,3850897,3981262,NA
NA,NA,1500000,1500000,1731000
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,1800000,1800000,NA
NA,NA,NA,NA,NA
NA,NA,1e+06,1e+06,NA
NA,NA,3e+05,330000,NA
NA,NA,250000,250000,NA
NA,NA,289680,277630,NA
NA,10314547,16464045,17899113,11166000
NA,NA,350000,350000,NA
NA,NA,NA,NA,NA
78349907,79061820,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,816178,849412,NA
20243373,1.8e+07,17543304,17760951,19141000
NA,NA,1100000,1100000,NA
NA,NA,6e+05,6e+05,NA
NA,NA,278888,278888,NA
4634242,NA,6874104,6768379,NA
NA,NA,20000,20000,NA
NA,NA,17000,32000,NA
NA,NA,980000,1100000,NA
46919600,48797100,53160300,55543500,56183000
5400000,NA,6823507,7253441,NA
NA,NA,NA,NA,NA
1900000,NA,2327144,2408825,1841000
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,493739,484806,NA
NA,NA,350000,350000,NA
NA,NA,NA,NA,NA
NA,276600,150000,150000,NA
NA,NA,1672996,1695100,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,2365000
NA,3482577,3439136,3585651,NA
NA,NA,12599809,14785062,11207000
NA,271408,296339,309891,NA
15013345,16643888,18212498,19855092,18672000
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,423750,423750,NA
NA,3400000,3804292,3804292,NA
NA,NA,NA,NA,NA
47734700,5.5e+07,56670000,49380000,67823000
NA,NA,4309000,4691000,NA
NA,NA,2150000,2225000,NA
918731,NA,1017000,1017000,NA
NA,NA,96000,96000,NA
NA,NA,NA,NA,NA
NA,NA,180000,180000,NA
NA,NA,NA,NA,NA
NA,NA,3200000,3400000,NA
NA,1455725,1300000,1300000,NA
NA,NA,2e+06,2e+06,2454000
250000,NA,250000,250000,NA
NA,165000,189000,192000,NA
NA,NA,60000,60000,NA
128712737,132796650,154133700,155527630,167400000
1.72e+08,190636623,206566803,210837155,223300000
2.72e+08,313134080,346300151,347603834,365626000
NA,NA,1e+06,1e+06,NA
NA,NA,3e+05,410000,NA
1200000,NA,2300000,2800000,NA
NA,NA,782500,736000,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,163833,102970,NA
25900376,28235821,31064148,31182812,28238000
19816948,19288177,NA,NA,22951000
NA,NA,1990500,1996450,1796000
450000,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,450000,479000,NA
NA,NA,5e+05,6e+05,NA
NA,NA,567961,567961,NA
NA,NA,3e+05,3e+05,NA
NA,NA,536000,556500,565000
NA,NA,3783511,NA,NA
19006145,23558398,26304104,27762802,29678000
185269375,186695241,199753347,2.08e+08,2.38e+08
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,454811,NA,NA,NA
NA,NA,25000,25000,NA
NA,NA,965000,939000,1156000
NA,NA,NA,NA,NA
NA,NA,NA,NA,2437000
NA,19481700,20404800,21197761,25212000
NA,1692812,1922120,1864145,1886000
82747000,101156000,NA,NA,115510000
NA,NA,420000,420000,NA
3e+06,NA,2760078,2760078,6204405
NA,NA,12050004,12050004,10554000
NA,NA,1528019,1842756,1785095
NA,NA,NA,NA,1456000
NA,NA,375000,375000,43232161
NA,NA,3876231,3173048,3173048
NA,NA,8e+05,8e+05,755200
NA,NA,NA,NA,28505000
1.9e+07,22616260,25005500,25718420,25863000
NA,NA,3117495,3256340,1559286
NA,NA,NA,NA,63660000
34893930,38846430,46944140,48893510,46771000
NA,NA,4e+05,450000,NA
NA,NA,1200000,1400000,1247252
NA,NA,1419339,1733961,1925000
NA,NA,41684130,41301311,28735000
165251729,197306873,235876509,227243205,2.3e+08
NA,NA,3086855,3480865,3523390
NA,NA,NA,NA,1713647
NA,NA,5640830,5770585,5330000
3213345,NA,3496239,3420866,3473000
NA,NA,NA,NA,NA
27407366,29689996,33945475,34684289,32407000
28567121,31451791,38658741,40435882,37210000
1123507,1247848,1400000,1600000,1406572
1341487,1329555,1410148,1276327,1079688
713885,766830,609000,666456,3932289
NA,NA,2194226,2369883,2569723
NA,3900000,NA,NA,4613633
NA,NA,2e+06,2e+06,1888000
NA,NA,NA,NA,5152712
1544704,NA,1712682,1657676,1696683
NA,NA,696112,809503,1125241
NA,NA,3020000,3500000,2467561
NA,NA,2873658,3081308,3184220
NA,NA,2900000,2900000,3043966
NA,NA,315736,308080,307224
5e+05,NA,750000,8e+05,929105
NA,NA,1e+05,1e+05,296062
NA,NA,1169941,1203133,1320302
1052700,NA,1385380,1461800,1619000
NA,NA,244217,261526,245462
NA,150000,177000,179216,273226
NA,NA,2e+06,2e+06,2133000
NA,NA,795000,865000,1112028
NA,NA,40000,42000,127735
NA,NA,598000,619000,620824
NA,NA,NA,NA,68806
NA,NA,NA,NA,1071625
NA,NA,2150000,2275462,2184000
2.8e+07,1.7e+07,NA,NA,36322000
NA,NA,1263950,1342885,1325718
NA,NA,950000,1e+06,2324296
NA,NA,NA,NA,257216
NA,NA,3e+05,3e+05,275233
NA,NA,189003,197196,164419
NA,1028452,1203104,1147089,1165291
985000,NA,NA,NA,444087
21762700,NA,NA,NA,30314000
19698254,9500000,NA,NA,12737836
NA,NA,8101488,7907262,7700000
NA,NA,NA,NA,6448000
NA,NA,3250000,3528000,3599490
NA,3720450,4340000,4188000,3641000
NA,NA,NA,NA,3699746
2100000,NA,2300000,2300000,2572000
NA,NA,NA,NA,155144
NA,NA,2e+05,2e+05,171847
NA,NA,350178,376565,256172
NA,NA,NA,NA,41106
NA,NA,190512,187617,5450
1120000,1200000,NA,NA,1513000
NA,NA,3046473,3525233,3005596
NA,NA,5748733,5788948,3648172
NA,NA,1500000,1500000,1748854
NA,NA,1100000,1300000,1138489
545000,NA,NA,NA,359478
NA,NA,2400000,2400000,2031620
NA,NA,NA,NA,210865
NA,NA,1227600,1309149,1388360
NA,NA,80000,80000,84241
NA,NA,639000,841000,105605
NA,NA,NA,NA,254029
NA,NA,608791,629731,651678
NA,NA,4380010,4545248,4619050
NA,16837039,NA,NA,21599000
NA,NA,918938,949918,840560
NA,NA,NA,NA,5658160
NA,NA,3464016,3464016,2100992
NA,NA,1544922,1564909,1723301
NA,NA,962000,962000,1162414
NA,NA,1050000,1124521,1456627
NA,27753795,31189051,28858203,26128000
NA,NA,2921315,3134561,3076317
22856177,NA,30569540,37117215,7381183
NA,NA,850000,825000,582659
NA,NA,NA,NA,2955348
NA,NA,142299,142205,47819
NA,NA,814454,842171,766245
NA,NA,224810,224810,211575
NA,NA,80000,80000,69329
NA,NA,NA,NA,2113108
19476030,24583239.5,10956666,10791556,23944000
NA,NA,3694380,3813114,3717459
NA,NA,7507534,7569181,6950699
NA,NA,NA,NA,22437000
NA,NA,2200000,2300000,2208198
1500000,NA,1605372,1861711,1861783
NA,NA,713895,815684,1096976
NA,NA,45000,50000,396040
NA,1267689,1409981,1603198,1578039
NA,NA,NA,NA,1015920
31867264,3.6e+07,38670975,40309036,40192000
NA,NA,820000,850000,767654
695000,NA,650000,650000,438731
NA,NA,NA,NA,218294
NA,NA,2349312,2517308,2037190
NA,NA,240000,281447,364426
NA,NA,NA,NA,217766
NA,NA,8e+05,860130,1035597
NA,NA,60000,60000,65161
NA,NA,NA,NA,9884834
NA,788495,923484,929435,606528
1179969,NA,1370082,1349251,1120410
2555000,NA,3337982,3438363,3336399
NA,NA,9e+05,9e+05,1082040
NA,NA,1216362,1186674,1337889
NA,NA,3e+06,3e+06,3524600
19886109,22103649,25777426,26757164,27944000
NA,NA,3.4e+07,3469054,3230592
6210000,NA,8239864,8172093,7615757
NA,NA,8028026,8245082,8337941
NA,NA,633500,698600,860962
NA,NA,1200000,1300000,1455527
NA,NA,623925,670796,562759
NA,NA,4874265,5023346,4897000
12688172,16171370,16112689,15677024,15459000
NA,NA,12190127,11793637,NA
NA,5015598,5817419,6132082,5709537
3100000,3100000,NA,NA,3707652
NA,NA,243675,261631,321166
NA,NA,398000,405000,485254
NA,NA,1200000,1600000,1782579
NA,NA,674681,710880,970565
NA,937302,NA,NA,855167
NA,NA,80000,80000,88988
NA,2e+05,219035,273864,341527
2500000,NA,3500000,3800000,2138000
NA,NA,NA,NA,444141
NA,NA,1539789,1560424,1521000
NA,NA,NA,NA,18949
NA,NA,NA,NA,7378
NA,NA,380000,390000,173654
NA,NA,NA,NA,332450
750000,NA,950000,972000,907360
NA,NA,1068365,1120426,1154561
NA,NA,3055593,3527889,3843827
NA,NA,NA,NA,1650983
NA,NA,NA,NA,237171
NA,NA,NA,NA,20353
NA,NA,390000,4e+05,40835
NA,362216,412000,423833,3060
NA,NA,NA,NA,118508
NA,NA,985000,985000,913245
NA,NA,1135872,1102175,1150535
NA,NA,5e+05,550000,572062
NA,NA,125000,125000,169657
NA,NA,21357458,21340428,11324000
NA,NA,NA,NA,3463258
NA,NA,NA,NA,1447779
NA,1500000,1685702,1849539,3230592
600102216,5.92e+08,800477557,753874810,729300000
71543006,93423344,104545326,114787000,120400000
17111709,18332627,19825000,21132000,21530000
NA,NA,7300000,8e+06,8648000
NA,NA,NA,NA,19699000
22083509,20976711,25540262,25567057,27376000
20233933,21752157,24388322,27055896,28708000
NA,71344812,84997080,73467230,90998000
NA,NA,2551303,2752421,2772000
NA,NA,8400000,8600000,8784000
NA,NA,9817362,9882324,10765000
NA,6198292,7782004,8e+06,7503000
NA,2495150,2600000,2700000,2904000
NA,NA,1350000,1350000,10007000
NA,NA,293000,289000,NA
9031593,NA,10494680,10638785,8869000
NA,NA,NA,NA,NA
7195591,NA,10956843,11384197,8477000
NA,NA,339552,395380,NA
NA,NA,NA,NA,NA
NA,NA,8046188,8698857,8244000
NA,510000,559250,559250,NA
42655754,44387797,50870319,53445152,56232000
11036313,NA,15796981,17390014,16435000
53554850,34097856,32311150,33129310,36533000
NA,NA,960000,980000,NA
NA,NA,2835515,2627832,NA
NA,NA,NA,NA,5410000
9268860,10142070,9632640,10033650,8895000
1500000,NA,2351086,2386649,2281000
19220965,21987401,27150611,28167568,26324000
5038171,NA,7896017,8740025,9014000
19717894,25126047,33228248,34356104,31989000
NA,NA,1316122,1281257,NA
NA,NA,NA,NA,NA
NA,NA,376393,386436,NA
NA,NA,1651561,1683800,NA
NA,NA,305600,305600,NA
NA,NA,NA,NA,3528000
NA,NA,NA,NA,NA
NA,NA,122000,127000,NA
NA,NA,332498,343882,NA
NA,85000,NA,NA,NA
NA,NA,1e+06,1e+06,NA
30810156,37344860,42366353,41838309,47575000
NA,NA,NA,NA,11960000
NA,NA,1050000,1050000,NA
NA,NA,NA,NA,NA
429338,NA,853000,873000,NA
8064000,8400000,10173931,10579999,13093000
12512709,15551482,16916308,17655772,18160000
NA,NA,85000,85000,NA
NA,NA,5e+05,6e+05,NA
NA,360000,395000,395000,410000
NA,NA,202600,203624,NA
NA,NA,370000,380000,384000
NA,NA,NA,NA,3517000
NA,NA,260000,280000,207000
28390691,3.3e+07,38990750,41497131,38654000
12100000,14711000,15648879,15865653,18363000
NA,NA,NA,NA,597000
NA,315000,NA,NA,265000
NA,NA,3031287,3599055,3108000
NA,9322799,11400000,11700000,10959000
NA,385140,3e+05,3e+05,NA
NA,NA,1e+05,1e+05,NA
NA,NA,840000,820000,NA
NA,NA,2365341,2424671,2322000
2687153,NA,3370000,3300000,3681000
171759700,191051600,228155600,242285100,246100000
3693974,NA,NA,NA,5086000
NA,NA,NA,NA,NA
NA,NA,2500000,2500000,NA
NA,NA,68000,68000,NA
NA,NA,6e+05,622000,NA
NA,NA,351599,345295,NA
NA,NA,9017097,9590597,8367000
NA,66667132,72868657,69220152,67914000
NA,1634965,1740329,1738304,NA
NA,NA,1018403,1083403,930000
NA,NA,101868,136000,131000
NA,NA,1251178,1287940,1564000
NA,NA,NA,NA,NA
NA,NA,948662,1120000,NA
NA,NA,466601,515412,NA
49502190,56725000,55630400,57074780,59392000
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,85000,NA,NA,NA
NA,NA,175865,189665,NA
NA,NA,NA,NA,NA
NA,NA,436000,402000,NA
18390123,19500000,22297226,22017786,25813000
NA,NA,556240,578445,551000
NA,NA,NA,NA,2669000
22745672,28134426,31448229,33317861,28429000
353000,NA,509217,509217,NA
NA,NA,207735,207670,NA
NA,NA,NA,NA,NA
NA,NA,714025,681000,NA
NA,NA,340000,340000,NA
NA,NA,750000,750000,760000
25119392,28097975,36400196,35551401,33613000
NA,NA,8729778,8729778,7595000
2806998,NA,3521500,3307700,3044000
5674013,NA,7844142,NA,7059000
11343446,11499133,13239865,15445222,14340000
NA,NA,13903958,14127451,14531000
12888000,13500000,14597978,15850695,15619000
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,11995083,12251684,13255978,12355000
NA,NA,NA,NA,2094000
NA,NA,12700000,13800000,13442000
NA,1121475,1251718,1339771,1077000
NA,NA,310000,330000,NA
12637907,13068220,15494386,15222250,14575000
NA,1474795,1671853,1945463,1364000
NA,NA,426000,424064,NA
NA,444631,452650,424104,NA
13840000,14170556,17796210,17251448,16657000
NA,NA,5595477,6123332,7776000
232923990,250476778,272780015,281479500,275700000
NA,NA,4211500,4440000,3262567
NA,NA,762200,859200,NA
NA,NA,950000,970000,883250
NA,NA,NA,NA,538155
25588877,3e+07,29019920,27045150,30464000
14003620,15641150,19404514,19230441,17953000
NA,NA,740000,765000,77253
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
3053804,NA,4562662,4704921,NA
NA,NA,NA,NA,NA
NA,NA,192130,192130,159134
NA,4100000,4636779,4837670,4528000
NA,NA,NA,NA,NA
NA,1569018,2473507,2990382,3990459
19122729,24995985,29655498,31496272,28822000
NA,NA,1200000,1200000,1511055
15118057,18182113,22632100,23244116,19249000
16505367,19781879,24117375,24605884,NA
NA,NA,328000,278000,310531
NA,NA,4e+05,425000,NA
NA,NA,1450000,1461939,1260000
NA,NA,1935635,2328829,2605509
NA,NA,35813008,34232992,35077000
13213186,1.4e+07,14431709,17169347,14201321
NA,NA,295000,303700,54400
NA,NA,NA,NA,NA
NA,NA,997000,997000,1038402
9e+06,NA,NA,NA,30547000
2.1e+07,29171955,43677941,46456300,51300000
23719345,NA,39699073,40789865,37215000
55748821,64525357,76857983,78995698,82400000
NA,NA,5631207,5997484,6344000
NA,NA,NA,NA,19656000
4723480,NA,NA,NA,5117000
NA,NA,252000,255000,890300
NA,NA,4819702,5459556,832814
NA,NA,NA,NA,7757105
NA,NA,NA,NA,NA
23622000,26365850,3.2e+07,3.2e+07,28036000
NA,48658482,57800000,60555000,62300000
36841675,41644417,57779900,58208376,64151000
49068608,52300321,70698309,73034140,74400000
30038458,31378884,39693480,41039300,40578000
21945426,25063130,NA,NA,32532000
NA,1065023,1770000,1750000,1396000
24154219,27776821,36122872,38407976,35911000
NA,NA,1700000,1800000,1906534
20065891,25272993,28686819,29213240,30089000
NA,NA,12171023,12954281,11689484
NA,NA,NA,NA,NA
NA,NA,2500000,2500000,2655447
NA,NA,NA,NA,143240
NA,27505947,28138120,29412024,29984000
NA,NA,NA,NA,713149
116626014,117984542,148322299,157607717,1.77e+08
NA,NA,NA,NA,NA
NA,NA,774906,873371,909457
NA,NA,NA,NA,NA
NA,NA,110000,110000,NA
NA,NA,14418401,14358162,11615000
15679996,18062371,21182327,22788515,27074000
NA,NA,NA,NA,1028223
NA,NA,646026,661686,NA
NA,16881491,NA,NA,34205000
1000100,NA,NA,NA,1663135
NA,NA,20715228,21662784,22752000
NA,NA,40964748,45006350,522650
4200000,NA,6100000,6100000,5447762
17016474,18736614,20827033,21932870,22882000
NA,NA,1120000,1130000,NA
NA,NA,8043792,8622390,8151000
16685000,23165628,2.8e+07,3e+07,35012000
NA,48798306,64500074,59740372,51056000
NA,NA,NA,NA,NA
13600000,8184554,16710498,17930547,19325000
NA,NA,8e+06,9500000,1281603
NA,NA,998725,998725,NA
14105968,16838592,22488596,23295044,24958764
NA,NA,50000,50000,NA
29500000,NA,NA,NA,39985000
1.3e+07,14663000,16739914,17165144,17433000
NA,1.2e+07,NA,NA,NA
NA,NA,1224010,1312085,NA
NA,NA,NA,NA,NA
NA,NA,3250000,3584937,3986000
277000,NA,NA,NA,NA
832119,NA,522882,513578,1155016
NA,NA,279513,307577,NA
32217000,34876400,39061900,40493300,45177000
NA,NA,4100311,4232717,NA
17971432,19479299,2e+07,2e+07,24161000
NA,NA,3843300,3942460,3585400
NA,9372120,12089353,14396598,NA
NA,1845000,2041621,2164527,NA
NA,NA,6498687,6520971,NA
NA,NA,2573270,3139217,208540
NA,NA,111542,111750,166000
53862135,61151423,69566086,72913743,77800000
NA,NA,NA,NA,433354
NA,NA,1e+06,1100000,NA
NA,NA,NA,NA,NA
NA,NA,3235830,3504565,6484000
425000,NA,703222,715145,772006
30529770,34059991,42369764,43617475,44213000
NA,NA,503000,479800,NA
NA,NA,319000,320000,NA
NA,NA,NA,1088215,1213243
NA,NA,920095,1003627,912599
NA,NA,NA,NA,2175515
23300000,26085837,NA,NA,27535000
NA,1250000,NA,NA,996707
NA,1198040,1336938,1405581,1349000
NA,NA,NA,NA,NA
NA,17995734,20231130,22573259,21957000
NA,NA,NA,NA,3466627
NA,NA,1479655,1673396,NA
NA,NA,2700000,2900000,NA
