budget_2013,budget_2016,OPBUDGET_2019,OPBUDGET2020,opbudget_2021_2022
3e+07,3.5e+07,48174584,44688612,44451712
30129178,27795535,36459012,39969447,42976632
2.1e+07,23401700,31701296,30287504,34154831
6.8e+07,78417004,94746978,96600000,92802314
47061600,49895181,72784321,71333069,66354648
199933700,219244230,244095709,238109220,285500000
1256645232,1442553291,1733838124,1857330549,2845866000
22279907,NA,29619404,30249088,75294609
6.4e+07,77476292,88714964,91093224,82103074
39803211,49108205,5.4e+07,5.5e+07,56828946
NA,NA,44433086,45290009,40673288
73484000,82255961,100418376,99702850,97318895
66984670,7.8e+07,84319367,85434365,263195288
25148841,NA,37263632,35748168,37510599
30882664,31573879,37149457,39427461,37282468
NA,NA,1901615,1901615,1547912
NA,NA,5955930,6397148,6454537
NA,NA,14653794,15693457,14105081
NA,NA,5404657,5794747,6229574
NA,NA,3244170,3993667,3787400
NA,NA,4762679,4802791,6450790
NA,NA,7652674,7125941,6959934
3.5e+07,44548900,53791203,53816983,55841032
NA,NA,5860142,7530980,7360447
NA,NA,3092155,2951884,2983832
114943826,1.31e+08,153803336,159880225,175200000
39085419,42623984,49720046,48481767,50914738
37300000,4.4e+07,47794875,50439310,48784967
45180306,50200000,59303020,66902372,67355927
45263490,7e+07,81563527,81679369,93993820
43983102,52335028,65793597,70717853,63736848
NA,42223109,46862791,50611830,51003573
101365485,118519466,131568820,133908060,152300000
NA,NA,11811300,12111400,13260798
56988995,77533644,43847136,45955977,52900000
NA,NA,15543000,18904700,18914767
NA,NA,44842766,46711471,47490034
91268017,89746918,1.5e+08,1.34e+08,108814277
41399330,44553484,46694832,48875516,47711195
23140256,NA,2.7e+07,27500000,33175828
NA,NA,6297356,6243531,8586251
124556913,125495560,147028812,157502833,221300000
30931302,35458468,40333488,52903418,48279342
NA,NA,8243000,5871400,9360801
2.8e+07,32062886,42021191,43578529,42211380
4e+07,59709300,60908820,65371040,97126798
65843095,78252483,99006979,94546750,102215948
24097786,27462906,36832921,40687582,41474730
55567000,59472136,81404707,83451584,85401695
15075550,NA,24184140,24934150,27688393
28084011,31747084,42017261,44593457,48141099
43963270,48764653,563765248,58784676,5.1e+07
2.6e+07,29641451,37301719,38364561,93427482
33221490,39314435,45928260,45633100,47329761
NA,NA,20632000,20617000,21357003
51359864,53233660,58609026,61558342,68837735
415271291,435501139,539262929,568243558,601200000
4.92e+08,542026595,692322316,667891102,657400000
90340310,115067578,135600000,1.39e+08,152900000
NA,NA,5600000,5600000,5698434
2940347,NA,5017242,5261668,4773732
25648000,3e+07,30109785,35320288,38953587
NA,NA,17263291,13887680,18372369
NA,39270506,NA,46429764,48912380
NA,NA,1.2e+07,1.2e+07,11643800
3.5e+07,NA,4.8e+07,4.5e+07,42866205
22414705,3e+07,32101140,44311107,37324022
NA,26774005,30801738,34301350,34802445
294752941,346977957,464466750,471530192,498100000
44361846,NA,62799081,74167544,74922688
3.3e+07,37881763,98366896,102135526,47651880
NA,NA,3.1e+07,2.7e+07,25817561
25915350,NA,31641295,33827140,33655468
29297744,33404786,42887273,46409235,51308336
NA,NA,2663148,3081872,3408609
NA,NA,39850235,42449743,42393767
NA,35125980,45517060,50596002,50667071
NA,NA,3900000,4100000,4241093
NA,NA,5852093,6386921,6122592
42300000,50408936,65750684,66384545,68528133
48688327,57937737,67073643,71082459,32912754
NA,10751827,1.3e+07,1.6e+07,13373988
NA,NA,18476850,19209600,18668542
NA,32773900,42774499,42539300,42420255
NA,56143190,5.8e+07,6.3e+07,77038214
NA,NA,7933663,8809919,8182032
28500000,32394000,44938301,42313987,298600000
28235400,3.3e+07,36131593,37436772,35419301
NA,NA,21002784,22145739,22269120
92458923,104037749,133217416,141320775,136800000
NA,NA,18593352,23375345,23190000
27549294,31679650,37724908,39615000,40871
NA,23845174,NA,NA,27742000
NA,NA,NA,NA,NA
29593231,33929789,36456641,38269082,39262000
22285910,26628051,3.8e+07,3.8e+07,2600000
NA,NA,350000,350000,NA
NA,142000,NA,NA,NA
92822328,105604116,130833487,140745909,158800000
NA,NA,76900,87300,NA
NA,NA,1617015,1271076,NA
NA,NA,4306663,5100000,4333000
NA,NA,626099,627087,2512000
NA,NA,130000,130000,NA
NA,NA,38534561,39254560,NA
NA,NA,2373915,2531318,NA
40734913,49708797,57181860,57494677,61049000
NA,NA,809725,832557,NA
NA,4076554,5078364,5464619,5315000
34798907,39262993,NA,NA,54986000
17211000,NA,24457482,25407854,25109000
12667150,28411752,NA,NA,32919000
NA,NA,2134082,2494750,2268000
NA,NA,NA,NA,NA
NA,NA,1150000,1200000,NA
NA,NA,3766680,4284897,3503000
NA,1309300,1181246,1156098,NA
NA,NA,5948835,5459880,5355000
NA,NA,2187005,2227402,NA
26787316,27677815,30294053,31673058,32679000
NA,NA,901852,973408,NA
NA,NA,1426625,1304543,NA
29059962,26377701,29005474,31500584,27776000
NA,NA,7e+05,750000,NA
NA,NA,1305856,1381346,NA
21837207,24997117,29790081,32269951,30522000
