AGENCYNAME,STATE,budget_2013,budget_2016,OPBUDGET_2019,OPBUDGET2020,opbudget_2021_2022
mifflin township police department,OH,NA,NA,7e+05,7e+05,NA
archbold police department,OH,794487,NA,1200000,1200000,NA
fayette police department,OH,NA,253549,357875,371150,NA
wauseon police department,OH,1610849,NA,1944050,1865500,2492000
xenia police division,OH,6693896,NA,6476471967,6983472,4182214
cedarville police department,OH,NA,NA,NA,NA,NA
byesville police department,OH,NA,NA,NA,NA,211000
blue ash police department,OH,NA,NA,NA,NA,5639000
indian hill police department,OH,3260000,NA,NA,NA,3634000
greenfield police department,OH,NA,NA,NA,NA,NA
jackson police department,OH,NA,NA,2e+06,2e+06,NA
steubenville police department,OH,NA,NA,3850897,3981262,NA
toronto police department,OH,NA,NA,1500000,1500000,1731000
kirtland hills police department,OH,NA,NA,NA,NA,NA
hanging rock police department,OH,NA,NA,NA,NA,NA
granville police department,OH,NA,NA,1800000,1800000,NA
heath police department,OH,NA,NA,NA,NA,NA
johnstown police department,OH,NA,NA,1e+06,1e+06,NA
village of utica police department,OH,NA,NA,3e+05,330000,NA
buckeye lake police department,OH,NA,NA,250000,250000,NA
russells point police department,OH,NA,NA,289680,277630,NA
lorain police department,OH,NA,10314547,16464045,17899113,11166000
lagrange police department,OH,NA,NA,350000,350000,NA
sylvania township police department,OH,NA,NA,NA,NA,NA
toledo police department,OH,78349907,79061820,NA,NA,NA
waterville police department,OH,NA,NA,NA,NA,NA
boardman police department,OH,NA,NA,NA,NA,NA
poland village police department,OH,NA,NA,NA,NA,NA
sebring police department,OH,NA,NA,816178,849412,NA
youngstown police department,OH,20243373,1.8e+07,17543304,17760951,19141000
springfield township police department - mahoning,OH,NA,NA,1100000,1100000,NA
milton township police department,OH,NA,NA,6e+05,6e+05,NA
coitsville township police department,OH,NA,NA,278888,278888,NA
marion police department,OH,4634242,NA,6874104,6768379,NA
racine police department,OH,NA,NA,20000,20000,NA
syracuse police department,OH,NA,NA,17000,32000,NA
west milton police department,OH,NA,NA,980000,1100000,NA
dayton police department,OH,46919600,48797100,53160300,55543500,56183000
miami township police department - montgomery,OH,5400000,NA,6823507,7253441,NA
moraine police department,OH,NA,NA,NA,NA,NA
clayton police department,OH,1900000,NA,2327144,2408825,1841000
riverside police department,OH,NA,NA,NA,NA,NA
union police department,OH,NA,NA,NA,NA,NA
jackson township police department,OH,NA,NA,493739,484806,NA
new concord police department,OH,NA,NA,350000,350000,NA
clay center police department,OH,NA,NA,NA,NA,NA
crooksville police department,OH,NA,276600,150000,150000,NA
shawnee police department,OH,NA,NA,1672996,1695100,NA
thornville police department,OH,NA,NA,NA,NA,NA
circleville police department,OH,NA,NA,NA,NA,2365000
streetsboro police department,OH,NA,3482577,3439136,3585651,NA
mansfield police department,OH,NA,NA,12599809,14785062,11207000
fort loramie police department,OH,NA,271408,296339,309891,NA
canton police department,OH,15013345,16643888,18212498,19855092,18672000
beach city police department,OH,NA,NA,NA,NA,NA
wilmot police department,OH,NA,NA,NA,NA,NA
marlboro township police department,OH,NA,NA,423750,423750,NA
perry township police department,OH,NA,3400000,3804292,3804292,NA
uniontown police department,OH,NA,NA,NA,NA,NA
akron police department,OH,47734700,5.5e+07,56670000,49380000,67823000
tallmadge police department,OH,NA,NA,4309000,4691000,NA
liberty township police department,OH,NA,NA,2150000,2225000,NA
warren township police department,OH,918731,NA,1017000,1017000,NA
fowler township police department,OH,NA,NA,96000,96000,NA
dennison police department,OH,NA,NA,NA,NA,NA
bolivar police department,OH,NA,NA,180000,180000,NA
strasburg police department,OH,NA,NA,NA,NA,NA
hamilton township police department,OH,NA,NA,3200000,3400000,NA
belpre police department,OH,NA,1455725,1300000,1300000,NA
orrville police department,OH,NA,NA,2e+06,2e+06,2454000
dalton police department,OH,250000,NA,250000,250000,NA
haskins police department,OH,NA,165000,189000,192000,NA
risingsun police department,OH,NA,NA,60000,60000,NA
cincinnati police department,OH,128712737,132796650,154133700,155527630,167400000
cleveland police department,OH,1.72e+08,190636623,206566803,210837155,223300000
columbus police department,OH,2.72e+08,313134080,346300151,347603834,365626000
stilwell police department,OK,NA,NA,1e+06,1e+06,NA
stringtown police department,OK,NA,NA,3e+05,410000,NA
elk city police department,OK,1200000,NA,2300000,2800000,NA
sayre police department,OK,NA,NA,782500,736000,NA
calera police department,OK,NA,NA,NA,NA,NA
lone grove police department,OK,NA,NA,NA,NA,NA
hulbert police department,OK,NA,NA,NA,NA,NA
sawyer police department,OK,NA,NA,163833,102970,NA
norman police department,OK,25900376,28235821,31064148,31182812,28238000
lawton police department,OK,19816948,19288177,NA,NA,22951000
clinton police department,OK,NA,NA,1990500,1996450,1796000
jay police department,OK,450000,NA,NA,NA,NA
minco police department,OK,NA,NA,NA,NA,NA
lamont police department,OK,NA,NA,NA,NA,NA
waurika police department,OK,NA,NA,NA,NA,NA
hennessey police department,OK,NA,NA,450000,479000,NA
okarche police department,OK,NA,NA,5e+05,6e+05,NA
hobart police department,OK,NA,NA,567961,567961,NA
wilburton police department,OK,NA,NA,3e+05,3e+05,NA
marietta police department,OK,NA,NA,536000,556500,565000
newcastle police department,OK,NA,NA,3783511,NA,NA
edmond police department,OK,19006145,23558398,26304104,27762802,29678000
oklahoma city police department,OK,185269375,186695241,199753347,2.08e+08,2.38e+08
spencer police department,OK,NA,NA,NA,NA,NA
henryetta police department,OK,NA,NA,NA,NA,NA
fairfax police department,OK,NA,NA,NA,NA,NA
hominy police department,OK,NA,454811,NA,NA,NA
allen police department,OK,NA,NA,25000,25000,NA
seminole police department,OK,NA,NA,965000,939000,1156000
vian police department,OK,NA,NA,NA,NA,NA
guymon police department,OK,NA,NA,NA,NA,2437000
broken arrow police department,OK,NA,19481700,20404800,21197761,25212000
skiatook police department,OK,NA,1692812,1922120,1864145,1886000
tulsa police department,OK,82747000,101156000,NA,NA,115510000
mooreland police department,OK,NA,NA,420000,420000,NA
gladstone police department,OR,3e+06,NA,2760078,2760078,6204405
oregon city police department,OR,NA,NA,12050004,12050004,10554000
cannon beach police department,OR,NA,NA,1528019,1842756,1785095
scappoose police department,OR,NA,NA,NA,NA,1456000
columbia city police department,OR,NA,NA,375000,375000,43232161
north bend police department,OR,NA,NA,3876231,3173048,3173048
gold beach police department,OR,NA,NA,8e+05,8e+05,755200
bend police department,OR,NA,NA,NA,NA,28505000
medford police department,OR,1.9e+07,22616260,25005500,25718420,25863000
cottage grove police department,OR,NA,NA,3117495,3256340,1559286
eugene police department,OR,NA,NA,NA,NA,63660000
salem police department,OR,34893930,38846430,46944140,48893510,46771000
turner police department,OR,NA,NA,4e+05,450000,NA
aumsville police department,OR,NA,NA,1200000,1400000,1247252
boardman police department,OR,NA,NA,1419339,1733961,1925000
gresham police department,OR,NA,NA,41684130,41301311,28735000
portland police bureau,OR,165251729,197306873,235876509,227243205,2.3e+08
independence police department,OR,NA,NA,3086855,3480865,3523390
tillamook police department,OR,NA,NA,NA,NA,1713647
hermiston police department,OR,NA,NA,5640830,5770585,5330000
la grande police department,OR,3213345,NA,3496239,3420866,3473000
enterprise police department,OR,NA,NA,NA,NA,NA
beaverton police department,OR,27407366,29689996,33945475,34684289,32407000
hillsboro police department,OR,28567121,31451791,38658741,40435882,37210000
cumberland township police department,PA,1123507,1247848,1400000,1600000,1406572
duquesne city police department,PA,1341487,1329555,1410148,1276327,1079688
baldwin township police department,PA,713885,766830,609000,666456,3932289
white oak borough police department,PA,NA,NA,2194226,2369883,2569723
north fayette township police department,PA,NA,3900000,NA,NA,4613633
o' hara township police department,PA,NA,NA,2e+06,2e+06,1888000
mckeesport city police department,PA,NA,NA,NA,NA,5152712
mckees rocks borough police department,PA,1544704,NA,1712682,1657676,1696683
millvale borough police department,PA,NA,NA,696112,809503,1125241
south park township police department,PA,NA,NA,3020000,3500000,2467561
pleasant hills borough police department,PA,NA,NA,2873658,3081308,3184220
whitehall borough police department,PA,NA,NA,2900000,2900000,3043966
elizabeth borough police department,PA,NA,NA,315736,308080,307224
mt oliver borough police department,PA,5e+05,NA,750000,8e+05,929105
port vue borough police department,PA,NA,NA,1e+05,1e+05,296062
tarentum borough police department,PA,NA,NA,1169941,1203133,1320302
west view borough police department,PA,1052700,NA,1385380,1461800,1619000
leechburg borough police department,PA,NA,NA,244217,261526,245462
parks township police department,PA,NA,150000,177000,179216,273226
beaver borough police department,PA,NA,NA,2e+06,2e+06,2133000
chippewa township police department,PA,NA,NA,795000,865000,1112028
independence township police dep,PA,NA,NA,40000,42000,127735
rochester township police department,PA,NA,NA,598000,619000,620824
south heights borough police department,PA,NA,NA,NA,NA,68806
boyertown borough police department,PA,NA,NA,NA,NA,1071625
kutztown borough police department,PA,NA,NA,2150000,2275462,2184000
reading city police department,PA,2.8e+07,1.7e+07,NA,NA,36322000
bern township police department,PA,NA,NA,1263950,1342885,1325718
douglass township police department,PA,NA,NA,950000,1e+06,2324296
roaring spring borough police department,PA,NA,NA,NA,NA,257216
greenfield township police department,PA,NA,NA,3e+05,3e+05,275233
canton borough police department,PA,NA,NA,189003,197196,164419
sayre borough police department,PA,NA,1028452,1203104,1147089,1165291
athens township police department,PA,985000,NA,NA,NA,444087
bensalem township police department,PA,21762700,NA,NA,NA,30314000
falls township police department,PA,19698254,9500000,NA,NA,12737836
warminster township police department,PA,NA,NA,8101488,7907262,7700000
springfield township police department,PA,NA,NA,NA,NA,6448000
plumstead township police department,PA,NA,NA,3250000,3528000,3599490
buckingham township police department,PA,NA,3720450,4340000,4188000,3641000
tinicum township police department,PA,NA,NA,NA,NA,3699746
butler city police department,PA,2100000,NA,2300000,2300000,2572000
mars borough police department,PA,NA,NA,NA,NA,155144
east conemaugh borough police department,PA,NA,NA,2e+05,2e+05,171847
geistown borough police department,PA,NA,NA,350178,376565,256172
blacklick township police department,PA,NA,NA,NA,NA,41106
summerhill township police department,PA,NA,NA,190512,187617,5450
lehighton borough police department,PA,1120000,1200000,NA,NA,1513000
patton township police department,PA,NA,NA,3046473,3525233,3005596
coatesville city police department,PA,NA,NA,5748733,5788948,3648172
oxford borough police department,PA,NA,NA,1500000,1500000,1748854
parkesburg borough police department,PA,NA,NA,1100000,1300000,1138489
spring city borough police department,PA,545000,NA,NA,NA,359478
upper uwchlan township police department,PA,NA,NA,2400000,2400000,2031620
honey brook borough police department,PA,NA,NA,NA,NA,210865
west vincent township police department,PA,NA,NA,1227600,1309149,1388360
west nottingham township police department,PA,NA,NA,80000,80000,84241
knox borough police department,PA,NA,NA,639000,841000,105605
pine creek township police department,PA,NA,NA,NA,NA,254029
hemlock township police department,PA,NA,NA,608791,629731,651678
upper allen township police department,PA,NA,NA,4380010,4545248,4619050
harrisburg police department,PA,NA,16837039,NA,NA,21599000
highspire borough police department,PA,NA,NA,918938,949918,840560
aston township police department,PA,NA,NA,NA,NA,5658160
darby township police department,PA,NA,NA,3464016,3464016,2100992
glenolden borough police department,PA,NA,NA,1544922,1564909,1723301
trainer borough police department,PA,NA,NA,962000,962000,1162414
upland borough police department,PA,NA,NA,1050000,1124521,1456627
upper darby township police department,PA,NA,27753795,31189051,28858203,26128000
upper providence township police department,PA,NA,NA,2921315,3134561,3076317
erie city police department,PA,22856177,NA,30569540,37117215,7381183
wesleyville borough police department,PA,NA,NA,850000,825000,582659
uniontown city police department,PA,NA,NA,NA,NA,2955348
redstone township police department,PA,NA,NA,142299,142205,47819
greencastle borough police department,PA,NA,NA,814454,842171,766245
brockway borough police department,PA,NA,NA,224810,224810,211575
sykesville borough police department,PA,NA,NA,80000,80000,69329
dunmore borough police department,PA,NA,NA,NA,NA,2113108
scranton city police department,PA,19476030,24583239.5,10956666,10791556,23944000
scott township police department,PA,NA,NA,3694380,3813114,3717459
ephrata police department,PA,NA,NA,7507534,7569181,6950699
lancaster city police department,PA,NA,NA,NA,NA,22437000
lititz borough police department,PA,NA,NA,2200000,2300000,2208198
west lampeter township police department,PA,1500000,NA,1605372,1861711,1861783
shenango township police department,PA,NA,NA,713895,815684,1096976
union township police department,PA,NA,NA,45000,50000,396040
palmyra borough police department,PA,NA,1267689,1409981,1603198,1578039
north cornwall township police department,PA,NA,NA,NA,NA,1015920
allentown city police department,PA,31867264,3.6e+07,38670975,40309036,40192000
slatington borough police department,PA,NA,NA,820000,850000,767654
macungie borough police department,PA,695000,NA,650000,650000,438731
freeland borough police department,PA,NA,NA,NA,NA,218294
nanticoke city police department,PA,NA,NA,2349312,2517308,2037190
ashley borough police department,PA,NA,NA,240000,281447,364426
west wyoming borough police department,PA,NA,NA,NA,NA,217766
pittston township police department,PA,NA,NA,8e+05,860130,1035597
courtdale borough police department,PA,NA,NA,60000,60000,65161
williamsport city police department,PA,NA,NA,NA,NA,9884834
greenville police department,PA,NA,788495,923484,929435,606528
grove city police department,PA,1179969,NA,1370082,1349251,1120410
hermitage police department,PA,2555000,NA,3337982,3438363,3336399
granville township police department,PA,NA,NA,9e+05,9e+05,1082040
bridgeport borough police department,PA,NA,NA,1216362,1186674,1337889
east norriton township police department,PA,NA,NA,3e+06,3e+06,3524600
lower merion township police department,PA,19886109,22103649,25777426,26757164,27944000
lower pottsgrove township police department,PA,NA,NA,3.4e+07,3469054,3230592
plymouth township police department,PA,6210000,NA,8239864,8172093,7615757
pottstown borough police department,PA,NA,NA,8028026,8245082,8337941
rockledge borough police department,PA,NA,NA,633500,698600,860962
royersford borough police department,PA,NA,NA,1200000,1300000,1455527
lower frederick township police department,PA,NA,NA,623925,670796,562759
limerick township police department,PA,NA,NA,4874265,5023346,4897000
bethlehem police department,PA,12688172,16171370,16112689,15677024,15459000
easton city police department,PA,NA,NA,12190127,11793637,NA
palmer township police department,PA,NA,5015598,5817419,6132082,5709537
forks township police department,PA,3100000,3100000,NA,NA,3707652
tatamy borough police department,PA,NA,NA,243675,261631,321166
walnutport borough police department,PA,NA,NA,398000,405000,485254
upper nazareth township police department,PA,NA,NA,1200000,1600000,1782579
milton borough police department,PA,NA,NA,674681,710880,970565
coal township police department,PA,NA,937302,NA,NA,855167
zerbe township police department,PA,NA,NA,80000,80000,88988
newport township police department,PA,NA,2e+05,219035,273864,341527
pottsville city police department,PA,2500000,NA,3500000,3800000,2138000
shenandoah borough police department,PA,NA,NA,NA,NA,444141
tamaqua borough police department,PA,NA,NA,1539789,1560424,1521000
mahanoy township police department,PA,NA,NA,NA,NA,18949
tremont borough police department,PA,NA,NA,NA,NA,7378
rush township police department,PA,NA,NA,380000,390000,173654
shamokin dam borough police department,PA,NA,NA,NA,NA,332450
mifflinburg borough police department,PA,750000,NA,950000,972000,907360
monongahela city police department,PA,NA,NA,1068365,1120426,1154561
cecil township police department,PA,NA,NA,3055593,3527889,3843827
chartiers township police department,PA,NA,NA,NA,NA,1650983
donegal township police department,PA,NA,NA,NA,NA,237171
north franklin township police department,PA,NA,NA,NA,NA,20353
smith township police department,PA,NA,NA,390000,4e+05,40835
mt pleasant township police department,PA,NA,362216,412000,423833,3060
west pike run township police department,PA,NA,NA,NA,NA,118508
ligonier borough police department,PA,NA,NA,985000,985000,913245
allegheny township police department,PA,NA,NA,1135872,1102175,1150535
delmont borough police department,PA,NA,NA,5e+05,550000,572062
meshoppen borough police department,PA,NA,NA,125000,125000,169657
york city police department,PA,NA,NA,21357458,21340428,11324000
west manchester township police department,PA,NA,NA,NA,NA,3463258
west york borough police department,PA,NA,NA,NA,NA,1447779
lower windsor township police department,PA,NA,1500000,1685702,1849539,3230592
philadelphia police department,PA,600102216,5.92e+08,800477557,753874810,729300000
pittsburgh city bureau of police,PA,71543006,93423344,104545326,114787000,120400000
warwick police,RI,17111709,18332627,19825000,21132000,21530000
west warwick police,RI,NA,NA,7300000,8e+06,8648000
newport police,RI,NA,NA,NA,NA,19699000
cranston police,RI,22083509,20976711,25540262,25567057,27376000
pawtucket police,RI,20233933,21752157,24388322,27055896,28708000
providence police,RI,NA,71344812,84997080,73467230,90998000
north smithfield police,RI,NA,NA,2551303,2752421,2772000
north kingstown police,RI,NA,NA,8400000,8600000,8784000
south kingstown police,RI,NA,NA,9817362,9882324,10765000
westerly police,RI,NA,6198292,7782004,8e+06,7503000
charlestown police,RI,NA,2495150,2600000,2700000,2904000
new shoreham police,RI,NA,NA,1350000,1350000,10007000
calhoun falls police department,SC,NA,NA,293000,289000,NA
aiken public safety,SC,9031593,NA,10494680,10638785,8869000
burnettown police department,SC,NA,NA,NA,NA,NA
anderson police department,SC,7195591,NA,10956843,11384197,8477000
pendleton police department,SC,NA,NA,339552,395380,NA
bonneau police department,SC,NA,NA,NA,NA,NA
goose creek police department,SC,NA,NA,8046188,8698857,8244000
saint matthews police department,SC,NA,510000,559250,559250,NA
charleston police department,SC,42655754,44387797,50870319,53445152,56232000
mount pleasant police department,SC,11036313,NA,15796981,17390014,16435000
north charleston police department,SC,53554850,34097856,32311150,33129310,36533000
blacksburg police department,SC,NA,NA,960000,980000,NA
darlington police department,SC,NA,NA,2835515,2627832,NA
summerville police department,SC,NA,NA,NA,NA,5410000
florence police department,SC,9268860,10142070,9632640,10033650,8895000
fountain inn police department,SC,1500000,NA,2351086,2386649,2281000
greenville police department,SC,19220965,21987401,27150611,28167568,26324000
greer police department,SC,5038171,NA,7896017,8740025,9014000
myrtle beach police department,SC,19717894,25126047,33228248,34356104,31989000
ridgeland police department,SC,NA,NA,1316122,1281257,NA
springdale police department,SC,NA,NA,NA,NA,NA
mccormick police department,SC,NA,NA,376393,386436,NA
marion police department,SC,NA,NA,1651561,1683800,NA
prosperity police department,SC,NA,NA,305600,305600,NA
seneca police department,SC,NA,NA,NA,NA,3528000
walhalla police department,SC,NA,NA,NA,NA,NA
salem police department,SC,NA,NA,122000,127000,NA
holly hill police department,SC,NA,NA,332498,343882,NA
norway police department,SC,NA,85000,NA,NA,NA
liberty police department,SC,NA,NA,1e+06,1e+06,NA
columbia police department,SC,30810156,37344860,42366353,41838309,47575000
spartanburg police department,SC,NA,NA,NA,NA,11960000
woodruff police department,SC,NA,NA,1050000,1050000,NA
inman police department,SC,NA,NA,NA,NA,NA
wellford police department,SC,429338,NA,853000,873000,NA
sumter police department,SC,8064000,8400000,10173931,10579999,13093000
rock hill police department,SC,12512709,15551482,16916308,17655772,18160000
avon police department,SD,NA,NA,85000,85000,NA
wagner police department,SD,NA,NA,5e+05,6e+05,NA
webster police department,SD,NA,360000,395000,395000,410000
eagle butte police department,SD,NA,NA,202600,203624,NA
miller police department,SD,NA,NA,370000,380000,384000
pierre police department,SD,NA,NA,NA,NA,3517000
parkston police department,SD,NA,NA,260000,280000,207000
sioux falls police department,SD,28390691,3.3e+07,38990750,41497131,38654000
rapid city police department,SD,12100000,14711000,15648879,15865653,18363000
sisseton police department,SD,NA,NA,NA,NA,597000
elk point police department,SD,NA,315000,NA,NA,265000
shelbyville police department,TN,NA,NA,3031287,3599055,3108000
cleveland police department,TN,NA,9322799,11400000,11700000,10959000
jellico police department,TN,NA,385140,3e+05,3e+05,NA
clarksburg police department,TN,NA,NA,1e+05,1e+05,NA
pleasant view police department,TN,NA,NA,840000,820000,NA
newport police department,TN,NA,NA,2365341,2424671,2322000
tullahoma police department,TN,2687153,NA,3370000,3300000,3681000
metro nashville police department,TN,171759700,191051600,228155600,242285100,246100000
dickson police department,TN,3693974,NA,NA,NA,5086000
trimble police department,TN,NA,NA,NA,NA,NA
pulaski police department,TN,NA,NA,2500000,2500000,NA
minor hill police department,TN,NA,NA,68000,68000,NA
ardmore police department,TN,NA,NA,6e+05,622000,NA
bean station police department,TN,NA,NA,351599,345295,NA
morristown police department,TN,NA,NA,9017097,9590597,8367000
chattanooga police department,TN,NA,66667132,72868657,69220152,67914000
bolivar police department,TN,NA,1634965,1740329,1738304,NA
rogersville police department,TN,NA,NA,1018403,1083403,930000
scotts hill police department,TN,NA,NA,101868,136000,131000
waverly police department,TN,NA,NA,1251178,1287940,1564000
gainesboro police department,TN,NA,NA,NA,NA,NA
white pine police department,TN,NA,NA,948662,1120000,NA
mountain city police department,TN,NA,NA,466601,515412,NA
knoxville police department,TN,49502190,56725000,55630400,57074780,59392000
henning police department,TN,NA,NA,NA,NA,NA
loretto police department,TN,NA,NA,NA,NA,NA
ethridge police department,TN,NA,85000,NA,NA,NA
calhoun police department,TN,NA,NA,175865,189665,NA
adamsville police department,TN,NA,NA,NA,NA,NA
red boiling springs police department,TN,NA,NA,436000,402000,NA
jackson police department,TN,18390123,19500000,22297226,22017786,25813000
kimball police department,TN,NA,NA,556240,578445,551000
lewisburg police department,TN,NA,NA,NA,NA,2669000
clarksville police department,TN,22745672,28134426,31448229,33317861,28429000
south fulton police department,TN,353000,NA,509217,509217,NA
obion police department,TN,NA,NA,207735,207670,NA
copperhill police department,TN,NA,NA,NA,NA,NA
benton police department,TN,NA,NA,714025,681000,NA
baxter police department,TN,NA,NA,340000,340000,NA
oliver springs police department,TN,NA,NA,750000,750000,760000
murfreesboro police department,TN,25119392,28097975,36400196,35551401,33613000
lavergne police department,TN,NA,NA,8729778,8729778,7595000
gatlinburg police department,TN,2806998,NA,3521500,3307700,3044000
pigeon forge police department,TN,5674013,NA,7844142,NA,7059000
collierville police department,TN,11343446,11499133,13239865,15445222,14340000
germantown police department,TN,NA,NA,13903958,14127451,14531000
bartlett police department,TN,12888000,13500000,14597978,15850695,15619000
cumberland city police department,TN,NA,NA,NA,NA,NA
dover police department,TN,NA,NA,NA,NA,NA
kingsport police department,TN,NA,11995083,12251684,13255978,12355000
white house police department,TN,NA,NA,NA,NA,2094000
hendersonville police department,TN,NA,NA,12700000,13800000,13442000
millersville police department,TN,NA,1121475,1251718,1339771,1077000
brighton police department,TN,NA,NA,310000,330000,NA
johnson city police department,TN,12637907,13068220,15494386,15222250,14575000
jonesborough police department,TN,NA,1474795,1671853,1945463,1364000
gleason police department,TN,NA,NA,426000,424064,NA
greenfield police department,TN,NA,444631,452650,424104,NA
franklin police department,TN,13840000,14170556,17796210,17251448,16657000
mount juliet police department,TN,NA,NA,5595477,6123332,7776000
memphis police department,TN,232923990,250476778,272780015,281479500,275700000
rockport police department,TX,NA,NA,4211500,4440000,3262567
lytle police department,TX,NA,NA,762200,859200,NA
jourdanton police department,TX,NA,NA,950000,970000,883250
seymour police department,TX,NA,NA,NA,NA,538155
killeen police department,TX,25588877,3e+07,29019920,27045150,30464000
temple police department,TX,14003620,15641150,19404514,19230441,17953000
morgans point resort police department,TX,NA,NA,740000,765000,77253
castle hills police department,TX,NA,NA,NA,NA,NA
kirby police department,TX,NA,NA,NA,NA,NA
live oak police department,TX,3053804,NA,4562662,4704921,NA
helotes police department,TX,NA,NA,NA,NA,NA
danbury police department,TX,NA,NA,192130,192130,159134
freeport police department,TX,NA,4100000,4636779,4837670,4528000
lake jackson police department,TX,NA,NA,NA,NA,NA
manvel police department,TX,NA,1569018,2473507,2990382,3990459
pearland police department,TX,19122729,24995985,29655498,31496272,28822000
west columbia police department,TX,NA,NA,1200000,1200000,1511055
bryan police department,TX,15118057,18182113,22632100,23244116,19249000
college station police department,TX,16505367,19781879,24117375,24605884,NA
bangs police department,TX,NA,NA,328000,278000,310531
somerville police department,TX,NA,NA,4e+05,425000,NA
luling police department,TX,NA,NA,1450000,1461939,1260000
port lavaca police department,TX,NA,NA,1935635,2328829,2605509
brownsville police department,TX,NA,NA,35813008,34232992,35077000
harlingen police department,TX,13213186,1.4e+07,14431709,17169347,14201321
palm valley police department,TX,NA,NA,295000,303700,54400
queen city police department,TX,NA,NA,NA,NA,NA
childress police department,TX,NA,NA,997000,997000,1038402
allen police department,TX,9e+06,NA,NA,NA,30547000
frisco police department,TX,2.1e+07,29171955,43677941,46456300,51300000
mckinney police department,TX,23719345,NA,39699073,40789865,37215000
plano police department,TX,55748821,64525357,76857983,78995698,82400000
prosper police department,TX,NA,NA,5631207,5997484,6344000
new braunfels police department,TX,NA,NA,NA,NA,19656000
gainesville police department,TX,4723480,NA,NA,NA,5117000
oak ridge police department,TX,NA,NA,252000,255000,890300
copperas cove police department,TX,NA,NA,4819702,5459556,832814
paducah police department,TX,NA,NA,NA,NA,7757105
lorenzo police department,TX,NA,NA,NA,NA,NA
carrollton police department,TX,23622000,26365850,3.2e+07,3.2e+07,28036000
garland police department,TX,NA,48658482,57800000,60555000,62300000
grand prairie police department,TX,36841675,41644417,57779900,58208376,64151000
irving police department,TX,49068608,52300321,70698309,73034140,74400000
mesquite police department,TX,30038458,31378884,39693480,41039300,40578000
richardson police department,TX,21945426,25063130,NA,NA,32532000
argyle police department,TX,NA,1065023,1770000,1750000,1396000
denton police department,TX,24154219,27776821,36122872,38407976,35911000
lake dallas police department,TX,NA,NA,1700000,1800000,1906534
lewisville police department,TX,20065891,25272993,28686819,29213240,30089000
the colony police department,TX,NA,NA,12171023,12954281,11689484
highland village police department,TX,NA,NA,NA,NA,NA
northlake police department,TX,NA,NA,2500000,2500000,2655447
spur police department,TX,NA,NA,NA,NA,143240
odessa police department,TX,NA,27505947,28138120,29412024,29984000
italy police department,TX,NA,NA,NA,NA,713149
el paso police department,TX,116626014,117984542,148322299,157607717,1.77e+08
lott police department,TX,NA,NA,NA,NA,NA
flatonia police department,TX,NA,NA,774906,873371,909457
lockney police department,TX,NA,NA,NA,NA,NA
crowell police department,TX,NA,NA,110000,110000,NA
missouri city police department,TX,NA,NA,14418401,14358162,11615000
sugar land police department,TX,15679996,18062371,21182327,22788515,27074000
fairfield police department,TX,NA,NA,NA,NA,1028223
teague police department,TX,NA,NA,646026,661686,NA
galveston police department,TX,NA,16881491,NA,NA,34205000
hitchcock police department,TX,1000100,NA,NA,NA,1663135
league city police department,TX,NA,NA,20715228,21662784,22752000
bayou vista police department,TX,NA,NA,40964748,45006350,522650
denison police department,TX,4200000,NA,6100000,6100000,5447762
longview police department,TX,17016474,18736614,20827033,21932870,22882000
white oak police department,TX,NA,NA,1120000,1130000,NA
seguin police department,TX,NA,NA,8043792,8622390,8151000
baytown police department,TX,16685000,23165628,2.8e+07,3e+07,35012000
pasadena police department,TX,NA,48798306,64500074,59740372,51056000
west university place police department,TX,NA,NA,NA,NA,NA
san marcos police department,TX,13600000,8184554,16710498,17930547,19325000
kyle police department,TX,NA,NA,8e+06,9500000,1281603
seven points police department,TX,NA,NA,998725,998725,NA
edinburg police department,TX,14105968,16838592,22488596,23295044,24958764
la villa police department,TX,NA,NA,50000,50000,NA
mcallen police department,TX,29500000,NA,NA,NA,39985000
mission police department,TX,1.3e+07,14663000,16739914,17165144,17433000
pharr police department,TX,NA,1.2e+07,NA,NA,NA
penitas police department,TX,NA,NA,1224010,1312085,NA
anton police department,TX,NA,NA,NA,NA,NA
sulphur springs police department,TX,NA,NA,3250000,3584937,3986000
west tawakoni police department,TX,277000,NA,NA,NA,NA
edna police department,TX,832119,NA,522882,513578,1155016
ganado police department,TX,NA,NA,279513,307577,NA
beaumont police department,TX,32217000,34876400,39061900,40493300,45177000
nederland police department,TX,NA,NA,4100311,4232717,NA
port arthur police department,TX,17971432,19479299,2e+07,2e+07,24161000
port neches police department,TX,NA,NA,3843300,3942460,3585400
burleson police department,TX,NA,9372120,12089353,14396598,NA
kaufman police department,TX,NA,1845000,2041621,2164527,NA
terrell police department,TX,NA,NA,6498687,6520971,NA
lampasas police department,TX,NA,NA,2573270,3139217,208540
kempner police department,TX,NA,NA,111542,111750,166000
lubbock police department,TX,53862135,61151423,69566086,72913743,77800000
shallowater police department,TX,NA,NA,NA,NA,433354
slaton police department,TX,NA,NA,1e+06,1100000,NA
ransom canyon police department,TX,NA,NA,NA,NA,NA
hewitt police department,TX,NA,NA,3235830,3504565,6484000
lorena police department,TX,425000,NA,703222,715145,772006
waco police department,TX,30529770,34059991,42369764,43617475,44213000
west police department,TX,NA,NA,503000,479800,NA
riesel police department,TX,NA,NA,319000,320000,NA
madisonville police department,TX,NA,NA,NA,1088215,1213243
