AGENCYNAME,STATE,budget_2013,budget_2016,OPBUDGET_2019,OPBUDGET2020,opbudget_2021_2022
arcadia police department,OK,NA,NA,NA,NA,NA
asher police department,OK,NA,NA,NA,NA,NA
rattan police department,OK,NA,72000,130000,144000,NA
tyrone police department,OK,NA,NA,60000,65000,NA
bonneauville borough police department,PA,46038,97248,85100,87700,72081
shade township police department,PA,70665,41918,80000,80000,10287
mission police department,SD,NA,NA,214000,214000,NA
little river - academy police department,TX,NA,NA,112000,78000,120700
holiday lakes police department,TX,NA,NA,0,50000,NA
hillcrest village city marshal's office,TX,NA,NA,NA,NA,NA
cross plains police department,TX,NA,NA,348233,351997,NA
fairview police department,TX,NA,1800000,2384029,2420832,2512437
josephine police department,TX,NA,NA,NA,NA,NA
texline city marshal's office,TX,NA,NA,140000,150000,NA
maypearl police department,TX,NA,NA,NA,NA,39472
honey grove police department,TX,NA,NA,275721,305432,NA
mount vernon police department,TX,NA,NA,NA,NA,NA
clear lake shores police department,TX,NA,NA,6e+05,6e+05,1036065
bells police department,TX,NA,308650,303084,343578,338983
gunter police department,TX,NA,NA,404751,451863,684853
estelline police department,TX,NA,NA,1e+05,125000,NA
waskom police department,TX,NA,NA,NA,NA,NA
enchanted oaks police department,TX,NA,NA,NA,NA,NA
grandview police department,TX,NA,NA,NA,NA,NA
buffalo police department,TX,NA,NA,NA,NA,322520
jewett police department,TX,NA,NA,NA,NA,NA
booker police department,TX,NA,NA,113186,115407,NA
newton police department,TX,NA,NA,350000,350000,NA
east tawakoni police department,TX,NA,NA,228900,294058,NA
boyd police department,TX,NA,551201,325000,350000,559953
alba police department,TX,NA,NA,14000,15000,NA
alma police department,WI,NA,NA,71975,70975,NA
webster police department,WI,NA,NA,220000,220000,NA
greenwood police department,WI,NA,NA,250000,260000,NA
cassville police department,WI,NA,NA,82000,92000,NA
village of ridgeway marshal's office,WI,NA,NA,68535,72535,NA
merrillan police department,WI,NA,NA,73600,73648,NA
black creek police department,WI,NA,NA,169147,164153,NA
la farge police department,WI,NA,NA,77280,86425,NA
ontario police department,WI,NA,NA,48000,49000,NA
linn town police department,WI,NA,NA,825000,850000,NA
minong police department,WI,NA,NA,125000,125000,NA
iola police department,WI,NA,219135,225811,226706,NA
pittsville police department,WI,NA,NA,98435,110930,NA
west hamlin police department,WV,NA,NA,50000,50000,NA
savannah police department,GA,NA,NA,59354375,64046268,66042827
franklin township police department,OH,NA,NA,NA,NA,NA
hooper bay police department,AK,NA,NA,NA,NA,NA
glendora police department,MS,NA,NA,NA,NA,NA
polkville police department,MS,NA,NA,NA,NA,NA
highmore police department,SD,NA,NA,NA,NA,NA
lyon police department,MS,NA,NA,34000,50000,NA
lyndon station police department,WI,NA,NA,15000,15000,NA
malin police department,OR,NA,NA,175000,175000,NA
remington police department,VA,NA,NA,NA,NA,NA
henrietta police department,MO,NA,NA,44167,15759,NA
neosho/ashippin/rubicon police department,WI,NA,NA,111452,160515,NA
lake norden police department,SD,NA,NA,85000,120000,NA
rothbury police department,MI,NA,NA,170000,170000,765100
anchorage police department,AK,NA,102316222,NA,NA,128500000
whittier police department,AK,NA,NA,1271483,1154384,822000
dillingham department of public safety,AK,NA,NA,NA,NA,1317000
bristol bay borough police department,AK,1e+06,NA,2700000,2700000,1241000
bessemer police department,AL,10200000,1.3e+07,14760000,14760000,14337785
birmingham police department,AL,83233076,92974535,92775797,104619650,106672000
fairfield police department,AL,NA,NA,NA,NA,2802000
hoover police department,AL,NA,2.5e+07,26819282,29417305,25597000
brighton police department,AL,NA,NA,2e+05,2e+05,NA
lipscomb police department,AL,NA,NA,NA,NA,NA
mobile police department,AL,3e+07,51167568,57938351,58666065,61030000
satsuma police department,AL,1227423,NA,1313943,1307691,NA
creola police department,AL,NA,NA,20000,40000,NA
dauphin island police department,AL,NA,NA,NA,NA,NA
montgomery police department,AL,45140014,45839826,49400000,49700000,46591000
