AGENCYNAME,city,STATE,budget_2013,budget_2016,budget_2019,budget_2020,budget_2021,source_budget_2021
lipscomb police department,lipscomb,AL,"328,098",331150,339084,348632,,
lisbon police department,lisbon,OH,"51,809","63,954","73,888","75,186",,
lithopolis police department,lithopolis,OH,"2,018,476","2,018,954",2121258,2278671,,
lititz borough police department,lititz borough,PA,134534000,"87,680,210",99557000,95116000,2208198,https://dced.pa.gov/local-government/municipal-statistics/
little egg harbor township police,little egg harbor,NJ,"6,242,438","6,678,251",10519689,10801671,,
little falls police department,little falls,NJ,"11,901,080","19,790,288",17403331,17244421,,
little ferry borough police,little ferry borough,NJ,"1,383,732","1,460,528","1,556,135","1,617,283",3973000,https://policescorecard.org/
little river - academy police department,little river academy,TX,"16,210,390","18,248,034",20221119,21115752,"120,700",https://www.littleriveracademy.us/index.php/city-hall/financials/budgets/2022-2023-budget
little rock police department,little rock,AR,22069937,24309735,2.5e+07,2.6e+07,80200891,https://www.littlerock.gov/city-administration/city-departments/finance/reports/annual-operating-budget-reports/
littleton police department,littleton,MA,4e+06,"4,229,756",3700000,3990000,,
littleton police department,littleton,NC,"4,112,772","4,268,704",5285000,5575000,14976790,https://www.littletonco.gov/files/sharedassets/public/v/1/finance/documents-finance/annual-financial/2021annualcomprehensivefin.pdf
live oak county sheriff's office,george west,TX,"1,726,589","2,159,119",2100000,2100000,"2,661,697",https://www.co.live-oak.tx.us/upload/page/1203/2019/FY%202021%20Adopted%20Budget-1.pdf
live oak police department,live oak,TX,4612690000,5.559e+09,6e+09,5.5e+09,,
liverpool village police department,liverpool,NY,1.9e+07,19600000,2e+07,21033000,"583,536",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
livingston county sheriff's office,geneseo,NY,"926,562","1,036,291",1731000,1830000,"1,331,159",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
livingston parish sheriff's office,livingston,LA,14336953,16895502,19202624,19745228,8722000,https://policescorecard.org/
livingston police department,livingston,AL,"316,107","317,812",334000,334000,1044000,https://policescorecard.org/
livingston police department,livingston,CA,"2,043,852","2,297,942",4278056,4433004,3787400,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
livingston police department,livingston,MT,"560,432","571,819",650000,723000,1721000,https://policescorecard.org/
livonia police department,livonia,MI,45999234,47435235,48960741,47936924,22444000,https://policescorecard.org/
lochbuie police department,lochbuie,CO,"502,930",558246,560000,570000,,
lockney police department,lockney,TX,"2,467,351","2,352,590","2,528,766","2,499,361",,
lodi police department,lodi,WI,"162,482","108,377",185000,185000,,
logan police department,logan,IA,"26,153","27,397","28,550","27,938",,
lombard police department,lombard,IL,7803486,"8,562,689",9521717,9973613,14380000,https://policescorecard.org/
lone grove police department,lone grove,OK,1300000,"1,460,125",1702246,1791482,,
lone peak public safety district police,highland,UT,"1,725,781","1,770,311",2009090,2218275,,
long beach police department,long beach,CA,"1,242,548","1,524,509",1300000,1300000,285500000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
long beach police department,long beach,IN,"246,987","219,854",274986,297965,350000,https://gateway.ifionline.org/report_builder/Default3a.aspx?rpttype=budget&rpt=DetailedExpenditures&rptName=Line-Item%20Budget%20Estimate
long branch city police,long branch,NJ,"2,401,369","2,485,686",3798300,3960504,,
long county sheriff's department,ludowici,GA,1.5e+07,18505165,"13,823,861","14,927,009",1009177,https://georgiadata.org/
longmont police department,longmont,CO,"344,631","330,749",343702,297380,2600000,https://policescorecard.org/
longview police department,longview,TX,33226980,35261272,30418927,33067019,22882000,https://policescorecard.org/
lonoke county sheriff's office,lonoke,AR,35772248,"143,012",35233959,34912096,,
loogootee police department,loogootee,IN,"956,240","975,393",1450000,1450000,349750,https://gateway.ifionline.org/report_builder/Default3a.aspx?rpttype=budget&rpt=DetailedExpenditures&rptName=Line-Item%20Budget%20Estimate
lookout mountain police department,lookout mountain,GA,"18,055,936",18656146,20297280,23322513,,
lorain police department,lorain,OH,"47,855","70,103","94,355","64,356",11166000,https://policescorecard.org/
lorena police department,lorena,TX,14635077,22187456,24024379,24947908,"772,006",https://ci.lorena.tx.us/DocumentCenter/View/2701/2023-proposed-budget?bidId=
lorenzo police department,lorenzo,TX,"2,276,509","2,331,619",2512830,2542000,,
loretto police department,loretto,TN,1319406,"824,382",970000,990000,,
los angeles county sheriff's department,los angeles,CA,"7,328,514","8,335,430","9,258,266","7,829,798",3600000000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
los angeles police department,los angeles,CA,9e+05,1e+06,1148307,979800,2845866000,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
lott police department,lott,TX,"894,738","882,415",990854,968474,,
loudoun county sheriff's office,leesburg,VA,"749,713","781,804","895,534","782,561",82880000,https://policescorecard.org/
louisburg police department,louisburg,NC,"399,972","311,799",355000,375000,0,
louisville metro police department,louisville,KY,34501224,35441199,37789165,38241297,195900000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
love county sheriff's office,marietta,OK,19744680,20620020,2.4e+07,2.5e+07,1357000,https://policescorecard.org/
loveland police department,loveland,CO,29876022,31478794,38330539,39061395,25109000,https://policescorecard.org/
lovell police department,lovell,WY,78804379,97052269,105296716,107463636,,
lovelock police department,lovelock,NV,"3,349,598","3,456,341",3145791,3453272,,
lowell police department,lowell,AR,4689952,"5,466,758",5474852,5586584,,
lowell police department,lowell,MA,"3,347,427","3,654,790","3,892,420","3,809,663",28101000,https://policescorecard.org/
lower frederick township police department,zieglerville,PA,17074086,18154437,19874023,20261838,562759,https://dced.pa.gov/local-government/municipal-statistics/
lower merion township police department,ardmore,PA,"4,700,046",8204000,8620753,9137101,27944000,https://policescorecard.org/
lower pottsgrove township police department,pottstown,PA,"872,643","924,160",1400000,1500000,3230592,https://dced.pa.gov/local-government/municipal-statistics/
lower windsor township police department,wrightsville,PA,8798911,"7,882,763","8,578,617","8,815,392",3230592,https://dced.pa.gov/local-government/municipal-statistics/
lowndes county sheriff's office,valdosta,GA,"7,569,557","8,687,694","10,502,895","10,350,016",11435000,https://georgiadata.org/
lowry city police department,lowry,MO,"972,442","1,064,827","1,235,877","1,239,061",,
lubbock county sheriff's office,lubbock,TX,NA,NA,NA,NA,"15,277,870",https://www.lubbockcounty.gov/egov/documents/1614360472_23386.pdf
lubbock police department,lubbock,TX,NA,NA,3589667,3677662,77800000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
lucas county sheriff's office,toledo,OH,NA,1639525,1300000,1270000,19779000,https://policescorecard.org/
ludington police department,ludington,MI,NA,1365176,1484482,1414014,1760000,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
ludlow police department,ludlow,IL,NA,480000,5e+05,5e+05,"6,826",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
luling police department,luling,TX,NA,NA,375000,403000,1260000,https://policescorecard.org/
lumberport police department,lumberport,WV,NA,NA,4e+05,390000,,
lumberton police department,lumberton,NC,NA,NA,1501477,1209532,"15,649,307",
lumpkin police department,lumpkin,GA,NA,NA,1006270,965465,496414,https://georgiadata.org/
lutcher police department,lutcher,LA,NA,NA,NA,NA,200334,https://app.lla.la.gov/publicreports.nsf/0/ff12718c479c8922862587880070ef2e/$file/00024f21.pdf
lynchburg police department,lynchburg,VA,NA,NA,NA,NA,22789000,https://policescorecard.org/
lynden police department,lynden,WA,NA,NA,NA,NA,,
lyndon station police department,lyndon station,WI,14215275,NA,17949208,18366023,,
lynn haven police department,lynn haven,FL,1469592,NA,2213530,2455090,,
lynn police department,lynn,AL,NA,NA,NA,NA,,
lynn police department,lynn,MA,13071134,14522813,15194703,16632320,22692000,https://policescorecard.org/
lynnwood police department,lynnwood,WA,NA,NA,350000,350000,16272000,https://policescorecard.org/
lyon police department,lyon,MS,NA,NA,NA,NA,,
lyons police department,lyons,NE,NA,NA,NA,NA,,
lytle police department,lytle,TX,NA,NA,910264,910264,,
mabscott police department,mabscott,WV,NA,NA,186000,189640,,
mackinac island police department,mackinac island,MI,NA,10228100,1.1e+07,1.2e+07,971990,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
macomb county sheriff's office,mount clemens,MI,NA,NA,3500000,3500000,39289000,https://policescorecard.org/
macomb police department,macomb,IL,NA,NA,4100000,4300000,0,https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
macon police department,macon,MO,NA,NA,2414999,2608425,897000,https://policescorecard.org/
macungie borough police department,macungie borough,PA,NA,NA,1984424,2000212,438731,https://dced.pa.gov/local-government/municipal-statistics/
madison county sheriff's office,jackson,TN,1e+07,NA,9995514,9588999,8999000,https://policescorecard.org/
madison county sheriff's office,huntsville,AL,NA,NA,NA,NA,23584000,https://policescorecard.org/
madison police department,madison center,CT,NA,NA,1585777,1635810,,
madison police department,madison,NC,NA,NA,1881396,1539491,7728315,https://www.madisoncountync.gov/uploads/5/9/7/0/59701963/2021-2022_budget_ordinance.pdf
madison police department,madison,WI,NA,NA,2113562,2293132,88000000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
madison township police department,adrian,MI,NA,NA,16935270,16847178,550130,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
madisonville police department,madisonville,TX,NA,4300000,5100000,5400000,1213243,https://madisonvilletexas.us/finance/#drw
magazine police department,magazine,AR,NA,NA,5885468,4945544,,
magnolia police department,magnolia,AR,6e+05,NA,NA,NA,,
magnolia police department,magnolia,NC,NA,NA,NA,NA,"216,682",
magoffin county sheriff's office,salyersville,KY,NA,NA,3127510,3168345,,
mahanoy township police department,mahanoy,PA,NA,NA,3245011,3378890,18949,https://dced.pa.gov/local-government/municipal-statistics/
mahoning county sheriff's office,youngstown,OH,NA,NA,NA,NA,,
malden police department,malden,MA,NA,NA,6500000,7e+06,11375000,https://policescorecard.org/
malin police department,malin,OR,NA,NA,11700000,12200000,,
malta police department,malta,IL,NA,9282044,NA,NA,51721,https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
mammoth police department,mammoth,AZ,NA,NA,6645525,7296789,,
manatee county sheriff's office,bradenton,FL,NA,NA,NA,NA,104289000,https://policescorecard.org/
manchester police department,manchester,CT,NA,NA,7e+05,7e+05,22520000,https://policescorecard.org/
manchester police department,manchester,NH,794487,NA,1200000,1200000,28832000,https://policescorecard.org/
mancos marshal's office,mancos,CO,NA,253549,357875,371150,,
mandan police department,mandan,ND,1610849,NA,1944050,1865500,4971000,https://policescorecard.org/
mandeville police department,mandeville,LA,6693896,NA,6476471967,6983472,,
manhattan beach police department,manhattan beach,CA,NA,NA,NA,NA,75294609,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
manhattan police department,manhattan,IL,NA,NA,NA,NA,2200021,https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
mansfield police department,mansfield,MO,NA,NA,NA,NA,,
mansfield police department,mansfield,OH,3260000,NA,NA,NA,11207000,https://policescorecard.org/
manson police department,manson,IA,NA,NA,NA,NA,,
manvel police department,manvel,TX,NA,NA,2e+06,2e+06,3990459,https://cityofmanvel.com/DocumentCenter/View/1558/Adopted-Budget-Fiscal-Year-2021-22?bidId=
maple heights police department,maple heights,OH,NA,NA,3850897,3981262,4543000,https://policescorecard.org/
margate police department,margate,FL,NA,NA,1500000,1500000,,
marianna police department,marianna,AR,NA,NA,NA,NA,,
maricopa county sheriff's office,phoenix,AZ,NA,NA,NA,NA,11992000,https://policescorecard.org/
marietta police department,marietta,GA,NA,NA,1800000,1800000,16189000,https://georgiadata.org/
marietta police department,marietta,OK,NA,NA,NA,NA,565000,https://policescorecard.org/
marin county sheriff's office,san rafael,CA,NA,NA,1e+06,1e+06,39355419,https://counties.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_1/Police+Protection/0/entity_name
marina police department,marina,CA,NA,NA,3e+05,330000,7360447,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
maringouin police department,maringouin,LA,NA,NA,250000,250000,7873307,https://www.cityofmandeville.com/sites/default/files/fileattachments/restricted_updates/page/4088/fiscal_year_2022_budget.pdf
marion county sheriff's department,marion,KS,NA,NA,289680,277630,,
marion county sheriff's department,columbia,MS,NA,10314547,16464045,17899113,2075000,https://policescorecard.org/
marion county sheriff's office,ocala,FL,NA,NA,350000,350000,60410000,https://policescorecard.org/
marion county sheriff's office,mullins,SC,NA,NA,NA,NA,,
marion county sheriff's office,jasper,TN,78349907,79061820,NA,NA,3133000,https://policescorecard.org/
marion police department,marion,OH,NA,NA,NA,NA,,
marion police department,marion,SC,NA,NA,NA,NA,,
markle police department,markle,IN,NA,NA,NA,NA,49000,https://gateway.ifionline.org/report_builder/Default3a.aspx?rpttype=budget&rpt=DetailedExpenditures&rptName=Line-Item%20Budget%20Estimate
marlboro township police department,hartville,OH,NA,NA,816178,849412,,
marlborough police department,marlborough,MA,20243373,1.8e+07,17543304,17760951,8402000,https://policescorecard.org/
marmaduke police department,marmaduke,AR,NA,NA,1100000,1100000,,
mars borough police department,mars borough,PA,NA,NA,6e+05,6e+05,155144,https://dced.pa.gov/local-government/municipal-statistics/
marseilles police department,marseilles,IL,NA,NA,278888,278888,1450094,https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
marshall county sheriff's office,guntersville,AL,4634242,NA,6874104,6768379,4087000,https://policescorecard.org/
marshall police department,marshall,MN,NA,NA,20000,20000,3211000,https://policescorecard.org/
marshall police department,marshall,WI,NA,NA,17000,32000,,
marshville police department,marshville,NC,NA,NA,980000,1100000,943966,https://www.marshville.org/sites/g/files/vyhlif6096/f/uploads/2023_marshville_audit.pdf
martin county sheriff's office,stuart,FL,46919600,48797100,53160300,55543500,52205000,https://policescorecard.org/
martin county sheriff's office,stanton,TX,5400000,NA,6823507,7253441,1702904,http://www.co.martin.tx.us/ArchiveCenter/ViewFile/Item/152
martinez police department,martinez,CA,NA,NA,NA,NA,13662071,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
martins ferry police department,martins ferry,OH,1900000,NA,2327144,2408825,2055000,https://policescorecard.org/
martinsville police department,martinsville,IL,NA,NA,NA,NA,114634,https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
martinsville police department,martinsville,IN,NA,NA,NA,NA,3067000,https://policescorecard.org/
marysville police department,marysville,WA,NA,NA,493739,484806,15722000,https://policescorecard.org/
maryville police department,maryville,IL,NA,NA,350000,350000,1575370,https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
mason police department,mason,MI,NA,NA,NA,NA,1507000,https://policescorecard.org/
matawan borough police,matawan borough,NJ,NA,276600,150000,150000,,
matewan police department,matewan,WV,NA,NA,1672996,1695100,,
mathews county sheriff's office,mathews,VA,NA,NA,NA,NA,1714000,https://policescorecard.org/
