AGENCYNAME,city,STATE,budget_2013,budget_2016,budget_2019,budget_2020,budget_2021,source_budget_2021
lebanon police department,lebanon,MO,NA,NA,5504795,5755980,4266000,https://policescorecard.org/
lee county sheriff's office,fort myers,FL,132502505,136780948,228428160,220436453,138776000,https://policescorecard.org/
lee county sheriff's office,montrose,IA,155098000,1.58e+08,1.88e+08,205348000,,
lee county sheriff's office,dixon,IL,NA,NA,NA,NA,"5,869,201",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
lee county sheriff's office,giddings,TX,20800000,25677769,26524594,26025403,"1,564,588",https://www.co.lee.tx.us/upload/page/5439/2021-2022%20Lee%20County%20Adopted%20Budget.pdf
lee police department,lee,NH,NA,NA,844479,738930,,
leechburg borough police department,leechburg borough,PA,NA,NA,1300000,1300000,245462,https://dced.pa.gov/local-government/municipal-statistics/
lees summit police department,lees summit,MO,NA,NA,3e+05,277914,22228000,https://policescorecard.org/
leesburg police department,leesburg,AL,NA,NA,7624130,7624130,,
leesburg police department,leesburg,FL,NA,NA,590000,616603,9166000,https://policescorecard.org/
lehighton borough police department,lehighton borough,PA,2521788,2264000,3800000,3800000,1513000,https://policescorecard.org/
leland police department,leland,MS,NA,NA,1245008,1254291,394000,https://policescorecard.org/
lemars police department,le mars,IA,NA,NA,131836,153192,2218000,https://policescorecard.org/
lenzburg police department,lenzburg,IL,17376257,NA,16150112,16988860,"52,431",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
leon county sheriff's office,tallahassee,FL,14253047,1.7e+07,18100000,18500000,39042000,https://policescorecard.org/
leon county sheriff's office,centerville,TX,NA,24500000,28248228,24979279,,
leroy police department,le roy,IL,1439542,NA,1e+06,1e+06,"779,802",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
lewes police department,lewes,DE,NA,NA,NA,NA,1445000,https://policescorecard.org/
lewis county sheriff's office,vanceburg,KY,NA,NA,NA,NA,243000,https://policescorecard.org/
lewis county sheriff's office,weston,WV,4.89e+08,539447297,631964702,655617383,1290000,https://policescorecard.org/
lewisburg police department,lewisburg,TN,88081724,90799189,NA,NA,2669000,https://policescorecard.org/
lewiston town police department,youngstown,NY,90476916,99992103,96704504,102147240,"1,331,159",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
lewisville police department,lewisville,TX,NA,492744,501082,391684,30089000,https://policescorecard.org/
lexington county sheriff's office,lexington,SC,5.4e+07,58235796,74804270,85327231,36034000,https://policescorecard.org/
lexington division of police,lexington,KY,19844950,23652000,3.2e+07,3.4e+07,81600000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
lexington police department,lexington,AL,54514684,58312914,"39,290,779","42,219,751",,
lexington police department,lexington,IL,"10,706,376",15278525,16164778,16669699,"192,153",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
lexington police department,lexington,MI,"87,446","82,995","65,256","70,710",316750,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
lexington police department,lexington,MS,12694518,11904668,12856788,12937152,,
lexington police department,lexington,VA,"193,134","196,271",420000,430000,1783000,https://policescorecard.org/
liberal police department,liberal,KS,"165,236","157,586",170000,175000,3678000,https://policescorecard.org/
liberty police department,liberty,SC,"926,161","833,323","923,364","865,286",,
liberty township police department,youngstown,OH,"3,808,303","4,147,269",3889705,3976579,,
libertyville police department,libertyville,IL,"360,552",400383,393000,372000,8885000,https://policescorecard.org/
licking county sheriff's office,newark,OH,"46,236","199,111",155000,175000,17069000,https://policescorecard.org/
ligonier borough police department,ligonier borough,PA,"3,944,280","4,101,470",5231159,5520671,913245,https://dced.pa.gov/local-government/municipal-statistics/
lillington police department,lillington,NC,"318,832","371,683","446,131","469,249",0,
limerick township police department,limerick,PA,78236166,81798470,89099759,85220364,4897000,https://policescorecard.org/
lincoln county sheriff's department,brookhaven,MS,"3,238,119","6,048,017",3614110,3612182,4095000,https://policescorecard.org/
lincoln county sheriff's office,star,AR,"1,434,761","1,563,773",1568776,1568471,13752412,https://www.lincolncountync.gov/DocumentCenter/View/17231/FY-2022-Recommended-Budget
lincoln county sheriff's office,troy,MO,"245,659","278,040",320535,346675,7918000,https://policescorecard.org/
lincoln county sheriff's office,lincolnton,NC,29940776,32086336,3.5e+07,35545560,13612541,https://www.lincolncountync.gov/DocumentCenter/View/18611/Lincoln-County-ACFR-June-30-2021?bidId=
lincoln police department,lincoln,NE,13238365,17358969,17898058,18564771,46300000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
lincolnshire police department,lincolnshire,IL,14288698,14336771,15818377,16488047,"4,789,607",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
lincolnton police department,lincolnton,NC,7397301,"8,212,941",8757955,8231923,3088000,https://policescorecard.org/
linden police,linden,NJ,"565,475","580,309","603,432","620,399",,
linn county sheriff's office,cedar rapids,IA,"734,222","753,830",895651,900620,11934000,https://policescorecard.org/
linn county sheriff's office,linneus,MO,"1,182,532","1,252,863",1275860,1311880,,
linn county sheriff's office,albany,OR,"203,036",233230,252274,261425,13353000,https://policescorecard.org/
linn police department,linn,MO,"218,543","288,397",352036,359036,,
linn town police department,zenda,WI,"116,511","86,414",123185,125950,,
lino lakes public safety department,lino lakes,MN,"59,617","90,482",62000,62500,4304000,https://policescorecard.org/
