location,is_city,zip,County,STATE,City
valdosta_GA,1,31603,NA,GA,valdosta
darien_GA,1,31305,NA,GA,darien
chatsworth_GA,1,30705,NA,GA,chatsworth
columbus_GA,1,31902,NA,GA,columbus
covington_GA,1,30014,NA,GA,covington
dallas_GA,1,30132,NA,GA,dallas
cedartown_GA,1,30125,NA,GA,cedartown
clayton_GA,1,30525,NA,GA,clayton
augusta-richmond consolidated government (balance)_GA,1,30901,NA,GA,augusta-richmond consolidated government (balance)
conyers_GA,1,30012,NA,GA,conyers
ellaville_GA,1,31806,NA,GA,ellaville
griffin_GA,1,30224,NA,GA,griffin
tifton_GA,1,31793,NA,GA,tifton
lyons_GA,1,30436,NA,GA,lyons
lafayette_GA,1,30728,NA,GA,lafayette
monroe_GA,1,30655,NA,GA,monroe
waycross_GA,1,31503,NA,GA,waycross
sandersville_GA,1,31082,NA,GA,sandersville
cleveland_GA,1,30528,NA,GA,cleveland
dalton_GA,1,30722,NA,GA,dalton
abbeville_GA,1,31001,NA,GA,abbeville
irwinton_GA,1,31042,NA,GA,irwinton
vinton_IA,1,52349,NA,IA,vinton
waterloo_IA,1,50703,NA,IA,waterloo
storm lake_IA,1,50588,NA,IA,storm lake
jefferson_IA,1,50129,NA,IA,jefferson
webster_IA,1,50595,NA,IA,webster
humboldt_IA,1,50548,NA,IA,humboldt
montrose_IA,1,52639,NA,IA,montrose
cedar rapids_IA,1,52406,NA,IA,cedar rapids
pocahontas_IA,1,50574,NA,IA,pocahontas
des moines_IA,1,50313,NA,IA,des moines
montezuma_IA,1,50171,NA,IA,montezuma
mount ayr_IA,1,50854,NA,IA,mount ayr
sac_IA,1,95814,NA,IA,sac
orange_IA,1,51041,NA,IA,orange
keosauqua_IA,1,52565,NA,IA,keosauqua
ottumwa_IA,1,52501,NA,IA,ottumwa
clarion_IA,1,50525,NA,IA,clarion
boise_ID,1,83704,NA,ID,boise
pocatello_ID,1,83205,NA,ID,pocatello
sandpoint_ID,1,83864,NA,ID,sandpoint
fairfield_ID,1,83327,NA,ID,fairfield
soda springs_ID,1,83276,NA,ID,soda springs
burley_ID,1,83318,NA,ID,burley
mountain home_ID,1,83647,NA,ID,mountain home
preston_ID,1,83263,NA,ID,preston
jerome_ID,1,83338,NA,ID,jerome
driggs_ID,1,83422,NA,ID,driggs
quincy_IL,1,62301,NA,IL,quincy
hardin_IL,1,62047,NA,IL,hardin
chicago_IL,1,60602,NA,IL,chicago
wheaton_IL,1,60187,NA,IL,wheaton
lewistown_IL,1,61542,NA,IL,lewistown
shawneetown_IL,1,62984,NA,IL,shawneetown
murphysboro_IL,1,62966,NA,IL,murphysboro
newton_IL,1,62448,NA,IL,newton
waukegan_IL,1,60085,NA,IL,waukegan
dixon_IL,1,61021,NA,IL,dixon
macomb_IL,1,61455,NA,IL,macomb
woodstock_IL,1,60098,NA,IL,woodstock
waterloo_IL,1,62298,NA,IL,waterloo
